Subject,Description,Service,Impact,Status
API Latency increased for /v1/products/list - EXT-8826,Batch imported ticket for API Latency increased for /v1/products/list - EXT-8826. User ID: user2. Please investigate the Application logs for ID EXT-8826. User IP: 124.211.49.86,Application,Medium,resolved
Load Balancer EXT-2824 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-2824 health check failures in Region-B. User ID: user2. Please investigate the Infrastructure logs for ID EXT-2824. User IP: 33.148.110.16,Infrastructure,Critical,in_progress
Password reset requested for executive account EXT-8501,Batch imported ticket for Password reset requested for executive account EXT-8501. User ID: user2. Please investigate the Access logs for ID EXT-8501. User IP: 124.138.14.122,Access,Low,resolved
Credential stuffing attempt blocked on IP range EXT-1825.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-1825.0.0/16. User ID: user2. Please investigate the Security logs for ID EXT-1825. User IP: 114.109.89.79,Security,High,resolved
EFS mount failure on instance EXT-5534,Batch imported ticket for EFS mount failure on instance EXT-5534. User ID: user2. Please investigate the Storage logs for ID EXT-5534. User IP: 61.183.130.188,Storage,Critical,resolved
Password reset requested for executive account EXT-5136,Batch imported ticket for Password reset requested for executive account EXT-5136. User ID: user2. Please investigate the Access logs for ID EXT-5136. User IP: 29.41.76.66,Access,Critical,in_progress
API Latency increased for /v1/products/list - EXT-3632,Batch imported ticket for API Latency increased for /v1/products/list - EXT-3632. User ID: user2. Please investigate the Application logs for ID EXT-3632. User IP: 159.37.82.172,Application,Low,open
User session timeout issue on mobile app version EXT-6690,Batch imported ticket for User session timeout issue on mobile app version EXT-6690. User ID: user2. Please investigate the Application logs for ID EXT-6690. User IP: 183.18.181.72,Application,Low,in_progress
VPN tunnel EXT-1033 status changed to Down,Batch imported ticket for VPN tunnel EXT-1033 status changed to Down. User ID: user2. Please investigate the Network logs for ID EXT-1033. User IP: 107.89.142.42,Network,High,in_progress
Database backup failure for instance EXT-5843 on S3,Batch imported ticket for Database backup failure for instance EXT-5843 on S3. User ID: user2. Please investigate the Database logs for ID EXT-5843. User IP: 239.47.82.122,Database,High,open
API Latency increased for /v1/products/list - EXT-8341,Batch imported ticket for API Latency increased for /v1/products/list - EXT-8341. User ID: user2. Please investigate the Application logs for ID EXT-8341. User IP: 193.242.80.49,Application,Medium,resolved
User session timeout issue on mobile app version EXT-8439,Batch imported ticket for User session timeout issue on mobile app version EXT-8439. User ID: user2. Please investigate the Application logs for ID EXT-8439. User IP: 166.126.128.141,Application,Medium,open
Payment gateway 500 status on /checkout/EXT-8871,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-8871. User ID: user2. Please investigate the Application logs for ID EXT-8871. User IP: 9.13.163.42,Application,Low,open
API Latency increased for /v1/products/list - EXT-3891,Batch imported ticket for API Latency increased for /v1/products/list - EXT-3891. User ID: user2. Please investigate the Application logs for ID EXT-3891. User IP: 68.153.221.183,Application,Critical,in_progress
Wireless AP EXT-6403 offline in South Wing,Batch imported ticket for Wireless AP EXT-6403 offline in South Wing. User ID: user2. Please investigate the Network logs for ID EXT-6403. User IP: 82.151.111.32,Network,Medium,in_progress
VPC Peering connection EXT-2645 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-2645 dropped packets detected. User ID: user2. Please investigate the Infrastructure logs for ID EXT-2645. User IP: 183.86.13.227,Infrastructure,Critical,open
API Latency increased for /v1/products/list - EXT-7088,Batch imported ticket for API Latency increased for /v1/products/list - EXT-7088. User ID: user2. Please investigate the Application logs for ID EXT-7088. User IP: 59.227.216.170,Application,Low,resolved
Server cluster EXT-2990 high CPU usage warning,Batch imported ticket for Server cluster EXT-2990 high CPU usage warning. User ID: user2. Please investigate the Infrastructure logs for ID EXT-2990. User IP: 191.232.187.53,Infrastructure,Medium,in_progress
Unusual login activity detected for account EXT-9156,Batch imported ticket for Unusual login activity detected for account EXT-9156. User ID: user2. Please investigate the Security logs for ID EXT-9156. User IP: 238.71.146.128,Security,Medium,open
Connection pool exhaustion on microservice EXT-3556,Batch imported ticket for Connection pool exhaustion on microservice EXT-3556. User ID: user2. Please investigate the Database logs for ID EXT-3556. User IP: 54.137.96.175,Database,Medium,open
Connection pool exhaustion on microservice EXT-8362,Batch imported ticket for Connection pool exhaustion on microservice EXT-8362. User ID: user2. Please investigate the Database logs for ID EXT-8362. User IP: 20.209.33.247,Database,Medium,in_progress
Disk space low (95%) on shared drive EXT-6273,Batch imported ticket for Disk space low (95%) on shared drive EXT-6273. User ID: user2. Please investigate the Storage logs for ID EXT-6273. User IP: 208.215.244.242,Storage,Medium,in_progress
User session timeout issue on mobile app version EXT-9326,Batch imported ticket for User session timeout issue on mobile app version EXT-9326. User ID: user2. Please investigate the Application logs for ID EXT-9326. User IP: 232.185.227.79,Application,High,in_progress
VPN tunnel EXT-2135 status changed to Down,Batch imported ticket for VPN tunnel EXT-2135 status changed to Down. User ID: user2. Please investigate the Network logs for ID EXT-2135. User IP: 174.121.76.108,Network,Low,resolved
User session timeout issue on mobile app version EXT-9032,Batch imported ticket for User session timeout issue on mobile app version EXT-9032. User ID: user2. Please investigate the Application logs for ID EXT-9032. User IP: 141.150.143.79,Application,High,in_progress
Unusual login activity detected for account EXT-7911,Batch imported ticket for Unusual login activity detected for account EXT-7911. User ID: user2. Please investigate the Security logs for ID EXT-7911. User IP: 54.230.91.250,Security,High,in_progress
VPC Peering connection EXT-2867 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-2867 dropped packets detected. User ID: user2. Please investigate the Infrastructure logs for ID EXT-2867. User IP: 166.103.205.25,Infrastructure,Critical,resolved
Payment gateway 500 status on /checkout/EXT-7690,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-7690. User ID: user2. Please investigate the Application logs for ID EXT-7690. User IP: 142.246.110.186,Application,Critical,resolved
Password reset requested for executive account EXT-5506,Batch imported ticket for Password reset requested for executive account EXT-5506. User ID: user2. Please investigate the Access logs for ID EXT-5506. User IP: 62.169.41.103,Access,Low,in_progress
Wireless AP EXT-2744 offline in South Wing,Batch imported ticket for Wireless AP EXT-2744 offline in South Wing. User ID: user2. Please investigate the Network logs for ID EXT-2744. User IP: 106.51.95.175,Network,High,resolved
Disk space low (95%) on shared drive EXT-2603,Batch imported ticket for Disk space low (95%) on shared drive EXT-2603. User ID: user2. Please investigate the Storage logs for ID EXT-2603. User IP: 125.130.223.160,Storage,Low,open
Role-based access change request for team EXT-5803,Batch imported ticket for Role-based access change request for team EXT-5803. User ID: user2. Please investigate the Access logs for ID EXT-5803. User IP: 213.65.74.122,Access,Medium,resolved
