Subject,Description,Service,Impact,Status
Payment gateway 500 status on /checkout/EXT-1689,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-1689. User ID: user5. Please investigate the Application logs for ID EXT-1689. User IP: 222.66.65.143,Application,High,open
Unusual login activity detected for account EXT-5697,Batch imported ticket for Unusual login activity detected for account EXT-5697. User ID: user5. Please investigate the Security logs for ID EXT-5697. User IP: 183.210.16.216,Security,Critical,open
Connection pool exhaustion on microservice EXT-5665,Batch imported ticket for Connection pool exhaustion on microservice EXT-5665. User ID: user5. Please investigate the Database logs for ID EXT-5665. User IP: 140.127.237.199,Database,Low,in_progress
Role-based access change request for team EXT-3649,Batch imported ticket for Role-based access change request for team EXT-3649. User ID: user5. Please investigate the Access logs for ID EXT-3649. User IP: 6.231.22.77,Access,Medium,in_progress
Server cluster EXT-3497 high CPU usage warning,Batch imported ticket for Server cluster EXT-3497 high CPU usage warning. User ID: user5. Please investigate the Infrastructure logs for ID EXT-3497. User IP: 6.171.162.139,Infrastructure,Critical,resolved
Connection pool exhaustion on microservice EXT-7620,Batch imported ticket for Connection pool exhaustion on microservice EXT-7620. User ID: user5. Please investigate the Database logs for ID EXT-7620. User IP: 103.244.230.108,Database,High,in_progress
Payment gateway 500 status on /checkout/EXT-1282,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-1282. User ID: user5. Please investigate the Application logs for ID EXT-1282. User IP: 135.119.54.122,Application,Medium,resolved
Server cluster EXT-6810 high CPU usage warning,Batch imported ticket for Server cluster EXT-6810 high CPU usage warning. User ID: user5. Please investigate the Infrastructure logs for ID EXT-6810. User IP: 66.7.108.247,Infrastructure,High,in_progress
EFS mount failure on instance EXT-6202,Batch imported ticket for EFS mount failure on instance EXT-6202. User ID: user5. Please investigate the Storage logs for ID EXT-6202. User IP: 36.75.254.232,Storage,Medium,resolved
Database backup failure for instance EXT-3882 on S3,Batch imported ticket for Database backup failure for instance EXT-3882 on S3. User ID: user5. Please investigate the Database logs for ID EXT-3882. User IP: 121.86.190.146,Database,Low,resolved
Credential stuffing attempt blocked on IP range EXT-1811.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-1811.0.0/16. User ID: user5. Please investigate the Security logs for ID EXT-1811. User IP: 192.227.24.236,Security,High,resolved
Server cluster EXT-5351 high CPU usage warning,Batch imported ticket for Server cluster EXT-5351 high CPU usage warning. User ID: user5. Please investigate the Infrastructure logs for ID EXT-5351. User IP: 9.212.39.198,Infrastructure,Low,open
Payment gateway 500 status on /checkout/EXT-2083,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-2083. User ID: user5. Please investigate the Application logs for ID EXT-2083. User IP: 110.222.16.48,Application,Low,in_progress
S3 bucket EXT-3700 access denied for service role,Batch imported ticket for S3 bucket EXT-3700 access denied for service role. User ID: user5. Please investigate the Storage logs for ID EXT-3700. User IP: 28.99.186.68,Storage,Critical,in_progress
Connection pool exhaustion on microservice EXT-6634,Batch imported ticket for Connection pool exhaustion on microservice EXT-6634. User ID: user5. Please investigate the Database logs for ID EXT-6634. User IP: 210.54.135.102,Database,High,resolved
VPN tunnel EXT-1401 status changed to Down,Batch imported ticket for VPN tunnel EXT-1401 status changed to Down. User ID: user5. Please investigate the Network logs for ID EXT-1401. User IP: 61.202.4.37,Network,Low,resolved
Load Balancer EXT-8492 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-8492 health check failures in Region-B. User ID: user5. Please investigate the Infrastructure logs for ID EXT-8492. User IP: 147.143.49.34,Infrastructure,High,in_progress
Wireless AP EXT-5313 offline in South Wing,Batch imported ticket for Wireless AP EXT-5313 offline in South Wing. User ID: user5. Please investigate the Network logs for ID EXT-5313. User IP: 194.155.157.163,Network,High,resolved
Payment gateway 500 status on /checkout/EXT-8030,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-8030. User ID: user5. Please investigate the Application logs for ID EXT-8030. User IP: 55.194.85.174,Application,High,resolved
Password reset requested for executive account EXT-9104,Batch imported ticket for Password reset requested for executive account EXT-9104. User ID: user5. Please investigate the Access logs for ID EXT-9104. User IP: 132.131.27.20,Access,Critical,open
Wireless AP EXT-3369 offline in South Wing,Batch imported ticket for Wireless AP EXT-3369 offline in South Wing. User ID: user5. Please investigate the Network logs for ID EXT-3369. User IP: 126.164.1.85,Network,High,in_progress
Credential stuffing attempt blocked on IP range EXT-4068.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-4068.0.0/16. User ID: user5. Please investigate the Security logs for ID EXT-4068. User IP: 235.241.12.235,Security,High,open
Postgres slow query optimization needed for EXT-4338,Batch imported ticket for Postgres slow query optimization needed for EXT-4338. User ID: user5. Please investigate the Database logs for ID EXT-4338. User IP: 76.32.254.82,Database,Low,resolved
