Subject,Description,Service,Impact,Status
Postgres slow query optimization needed for EXT-9500,Batch imported ticket for Postgres slow query optimization needed for EXT-9500. User ID: user10. Please investigate the Database logs for ID EXT-9500. User IP: 174.47.130.45,Database,High,open
EFS mount failure on instance EXT-6390,Batch imported ticket for EFS mount failure on instance EXT-6390. User ID: user10. Please investigate the Storage logs for ID EXT-6390. User IP: 82.145.3.7,Storage,Low,open
Payment gateway 500 status on /checkout/EXT-6906,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-6906. User ID: user10. Please investigate the Application logs for ID EXT-6906. User IP: 68.214.28.196,Application,Critical,open
Load Balancer EXT-3762 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-3762 health check failures in Region-B. User ID: user10. Please investigate the Infrastructure logs for ID EXT-3762. User IP: 211.204.212.181,Infrastructure,Critical,open
Postgres slow query optimization needed for EXT-4354,Batch imported ticket for Postgres slow query optimization needed for EXT-4354. User ID: user10. Please investigate the Database logs for ID EXT-4354. User IP: 79.69.152.187,Database,High,in_progress
VPC Peering connection EXT-5483 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-5483 dropped packets detected. User ID: user10. Please investigate the Infrastructure logs for ID EXT-5483. User IP: 233.96.33.255,Infrastructure,Low,in_progress
DNS resolution failure for internal host EXT-8422,Batch imported ticket for DNS resolution failure for internal host EXT-8422. User ID: user10. Please investigate the Network logs for ID EXT-8422. User IP: 57.205.157.223,Network,High,resolved
VPC Peering connection EXT-7850 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-7850 dropped packets detected. User ID: user10. Please investigate the Infrastructure logs for ID EXT-7850. User IP: 11.192.87.135,Infrastructure,Medium,resolved
User session timeout issue on mobile app version EXT-5522,Batch imported ticket for User session timeout issue on mobile app version EXT-5522. User ID: user10. Please investigate the Application logs for ID EXT-5522. User IP: 208.12.19.159,Application,Medium,in_progress
VPN tunnel EXT-5037 status changed to Down,Batch imported ticket for VPN tunnel EXT-5037 status changed to Down. User ID: user10. Please investigate the Network logs for ID EXT-5037. User IP: 224.94.61.152,Network,Medium,open
API Latency increased for /v1/products/list - EXT-9587,Batch imported ticket for API Latency increased for /v1/products/list - EXT-9587. User ID: user10. Please investigate the Application logs for ID EXT-9587. User IP: 110.210.59.45,Application,High,resolved
Unauthorized S3 bucket policy modification on EXT-7848,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-7848. User ID: user10. Please investigate the Security logs for ID EXT-7848. User IP: 53.77.172.67,Security,Medium,resolved
Wireless AP EXT-8800 offline in South Wing,Batch imported ticket for Wireless AP EXT-8800 offline in South Wing. User ID: user10. Please investigate the Network logs for ID EXT-8800. User IP: 223.252.68.180,Network,Low,in_progress
Postgres slow query optimization needed for EXT-3181,Batch imported ticket for Postgres slow query optimization needed for EXT-3181. User ID: user10. Please investigate the Database logs for ID EXT-3181. User IP: 59.174.110.50,Database,Critical,in_progress
Unauthorized S3 bucket policy modification on EXT-4465,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-4465. User ID: user10. Please investigate the Security logs for ID EXT-4465. User IP: 106.227.139.105,Security,Medium,in_progress
Unusual login activity detected for account EXT-1549,Batch imported ticket for Unusual login activity detected for account EXT-1549. User ID: user10. Please investigate the Security logs for ID EXT-1549. User IP: 44.223.164.122,Security,High,resolved
VPN tunnel EXT-1436 status changed to Down,Batch imported ticket for VPN tunnel EXT-1436 status changed to Down. User ID: user10. Please investigate the Network logs for ID EXT-1436. User IP: 250.117.251.38,Network,Medium,resolved
Database backup failure for instance EXT-8768 on S3,Batch imported ticket for Database backup failure for instance EXT-8768 on S3. User ID: user10. Please investigate the Database logs for ID EXT-8768. User IP: 22.117.234.254,Database,Low,open
Unusual login activity detected for account EXT-4930,Batch imported ticket for Unusual login activity detected for account EXT-4930. User ID: user10. Please investigate the Security logs for ID EXT-4930. User IP: 63.213.144.180,Security,High,resolved
Load Balancer EXT-4238 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-4238 health check failures in Region-B. User ID: user10. Please investigate the Infrastructure logs for ID EXT-4238. User IP: 250.124.96.140,Infrastructure,Low,in_progress
Connection pool exhaustion on microservice EXT-8746,Batch imported ticket for Connection pool exhaustion on microservice EXT-8746. User ID: user10. Please investigate the Database logs for ID EXT-8746. User IP: 155.246.25.9,Database,High,in_progress
Payment gateway 500 status on /checkout/EXT-6819,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-6819. User ID: user10. Please investigate the Application logs for ID EXT-6819. User IP: 40.186.56.53,Application,Critical,in_progress
Password reset requested for executive account EXT-4212,Batch imported ticket for Password reset requested for executive account EXT-4212. User ID: user10. Please investigate the Access logs for ID EXT-4212. User IP: 178.120.165.186,Access,Low,resolved
Disk space low (95%) on shared drive EXT-5509,Batch imported ticket for Disk space low (95%) on shared drive EXT-5509. User ID: user10. Please investigate the Storage logs for ID EXT-5509. User IP: 125.137.135.67,Storage,Medium,open
