Subject,Description,Service,Impact,Status
API Latency increased for /v1/products/list - EXT-4816,Batch imported ticket for API Latency increased for /v1/products/list - EXT-4816. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-4816. User IP: 209.40.133.162,application,Low,open
API Latency increased for /v1/products/list - EXT-4129,Batch imported ticket for API Latency increased for /v1/products/list - EXT-4129. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-4129. User IP: 194.17.172.68,application,Critical,resolved
Password reset requested for executive account EXT-4519,Batch imported ticket for Password reset requested for executive account EXT-4519. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-4519. User IP: 224.113.158.240,access,Medium,in_progress
Unauthorized S3 bucket policy modification on EXT-4154,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-4154. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-4154. User IP: 145.30.238.196,security,Medium,resolved
Role-based access change request for team EXT-4919,Batch imported ticket for Role-based access change request for team EXT-4919. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-4919. User IP: 151.121.253.61,access,Critical,in_progress
Load Balancer EXT-4905 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-4905 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4905. User IP: 225.213.73.128,infrastructure,Critical,resolved
Database backup failure for instance EXT-4679 on S3,Batch imported ticket for Database backup failure for instance EXT-4679 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-4679. User IP: 245.226.132.117,database,Low,resolved
Unusual login activity detected for account EXT-4830,Batch imported ticket for Unusual login activity detected for account EXT-4830. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-4830. User IP: 252.85.192.194,security,Critical,resolved
Unusual login activity detected for account EXT-4978,Batch imported ticket for Unusual login activity detected for account EXT-4978. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-4978. User IP: 75.99.57.158,security,Medium,resolved
DNS resolution failure for internal host EXT-4725,Batch imported ticket for DNS resolution failure for internal host EXT-4725. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-4725. User IP: 75.176.158.89,network,Low,resolved
Postgres slow query optimization needed for EXT-4228,Batch imported ticket for Postgres slow query optimization needed for EXT-4228. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-4228. User IP: 74.165.195.140,database,High,open
Unauthorized S3 bucket policy modification on EXT-4309,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-4309. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-4309. User IP: 49.220.76.196,security,High,resolved
API Latency increased for /v1/products/list - EXT-4330,Batch imported ticket for API Latency increased for /v1/products/list - EXT-4330. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-4330. User IP: 91.248.167.167,application,High,resolved
EFS mount failure on instance EXT-4721,Batch imported ticket for EFS mount failure on instance EXT-4721. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-4721. User IP: 108.108.35.98,storage,Low,resolved
Load Balancer EXT-4506 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-4506 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4506. User IP: 91.87.45.150,infrastructure,Medium,resolved
Load Balancer EXT-4734 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-4734 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4734. User IP: 48.148.229.133,infrastructure,Medium,in_progress
Disk space low (95%) on shared drive EXT-4546,Batch imported ticket for Disk space low (95%) on shared drive EXT-4546. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-4546. User IP: 101.169.71.58,storage,Critical,open
Postgres slow query optimization needed for EXT-4616,Batch imported ticket for Postgres slow query optimization needed for EXT-4616. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-4616. User IP: 118.100.179.106,database,High,open
User session timeout issue on mobile app version EXT-4565,Batch imported ticket for User session timeout issue on mobile app version EXT-4565. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-4565. User IP: 64.95.211.170,application,High,resolved
Role-based access change request for team EXT-4131,Batch imported ticket for Role-based access change request for team EXT-4131. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-4131. User IP: 40.131.133.127,access,Low,in_progress
Unusual login activity detected for account EXT-4671,Batch imported ticket for Unusual login activity detected for account EXT-4671. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-4671. User IP: 37.102.56.216,security,Low,open
Connection pool exhaustion on microservice EXT-4814,Batch imported ticket for Connection pool exhaustion on microservice EXT-4814. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-4814. User IP: 62.201.69.254,database,High,open
VPC Peering connection EXT-4401 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-4401 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4401. User IP: 46.230.88.242,infrastructure,High,in_progress
Database backup failure for instance EXT-4847 on S3,Batch imported ticket for Database backup failure for instance EXT-4847 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-4847. User IP: 68.54.244.62,database,Critical,open
Server cluster EXT-4159 high CPU usage warning,Batch imported ticket for Server cluster EXT-4159 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4159. User IP: 163.254.177.50,infrastructure,Critical,in_progress
EFS mount failure on instance EXT-4452,Batch imported ticket for EFS mount failure on instance EXT-4452. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-4452. User IP: 137.136.21.175,storage,High,open
Load Balancer EXT-4343 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-4343 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4343. User IP: 186.7.43.59,infrastructure,Critical,open
Server cluster EXT-4664 high CPU usage warning,Batch imported ticket for Server cluster EXT-4664 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4664. User IP: 142.74.165.65,infrastructure,Medium,in_progress
Server cluster EXT-4635 high CPU usage warning,Batch imported ticket for Server cluster EXT-4635 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4635. User IP: 6.48.86.245,infrastructure,Medium,in_progress
User session timeout issue on mobile app version EXT-4586,Batch imported ticket for User session timeout issue on mobile app version EXT-4586. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-4586. User IP: 173.128.62.67,application,High,open
Server cluster EXT-4127 high CPU usage warning,Batch imported ticket for Server cluster EXT-4127 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4127. User IP: 10.195.251.60,infrastructure,Low,in_progress
Unauthorized S3 bucket policy modification on EXT-4669,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-4669. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-4669. User IP: 200.237.143.219,security,Low,resolved
