Subject,Description,Service,Impact,Status
Server cluster EXT-5987 high CPU usage warning,Batch imported ticket for Server cluster EXT-5987 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-5987. User IP: 20.76.67.183,infrastructure,High,resolved
User session timeout issue on mobile app version EXT-5981,Batch imported ticket for User session timeout issue on mobile app version EXT-5981. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-5981. User IP: 13.25.249.92,application,High,resolved
DNS resolution failure for internal host EXT-5882,Batch imported ticket for DNS resolution failure for internal host EXT-5882. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5882. User IP: 180.63.216.101,network,Medium,in_progress
Password reset requested for executive account EXT-5458,Batch imported ticket for Password reset requested for executive account EXT-5458. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-5458. User IP: 88.51.43.95,access,Low,in_progress
Unusual login activity detected for account EXT-5328,Batch imported ticket for Unusual login activity detected for account EXT-5328. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-5328. User IP: 211.33.32.196,security,High,open
Credential stuffing attempt blocked on IP range EXT-5919.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-5919.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-5919. User IP: 152.129.214.115,security,Low,resolved
API Latency increased for /v1/products/list - EXT-5899,Batch imported ticket for API Latency increased for /v1/products/list - EXT-5899. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-5899. User IP: 190.126.154.153,application,Low,in_progress
Disk space low (95%) on shared drive EXT-5680,Batch imported ticket for Disk space low (95%) on shared drive EXT-5680. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-5680. User IP: 126.114.100.254,storage,High,in_progress
Disk space low (95%) on shared drive EXT-5873,Batch imported ticket for Disk space low (95%) on shared drive EXT-5873. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-5873. User IP: 162.96.143.238,storage,High,in_progress
User session timeout issue on mobile app version EXT-5798,Batch imported ticket for User session timeout issue on mobile app version EXT-5798. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-5798. User IP: 15.85.206.163,application,Low,resolved
User session timeout issue on mobile app version EXT-5520,Batch imported ticket for User session timeout issue on mobile app version EXT-5520. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-5520. User IP: 187.41.62.126,application,Critical,in_progress
Credential stuffing attempt blocked on IP range EXT-5264.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-5264.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-5264. User IP: 119.30.63.132,security,Medium,open
DNS resolution failure for internal host EXT-5973,Batch imported ticket for DNS resolution failure for internal host EXT-5973. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5973. User IP: 4.211.23.181,network,Critical,in_progress
S3 bucket EXT-5392 access denied for service role,Batch imported ticket for S3 bucket EXT-5392 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-5392. User IP: 116.240.121.118,storage,Critical,open
Payment gateway 500 status on /checkout/EXT-5575,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-5575. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-5575. User IP: 118.126.201.151,application,Medium,in_progress
Unusual login activity detected for account EXT-5552,Batch imported ticket for Unusual login activity detected for account EXT-5552. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-5552. User IP: 21.205.143.238,security,Critical,open
Credential stuffing attempt blocked on IP range EXT-5662.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-5662.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-5662. User IP: 192.236.136.137,security,High,open
Wireless AP EXT-5935 offline in South Wing,Batch imported ticket for Wireless AP EXT-5935 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5935. User IP: 197.133.154.178,network,Medium,in_progress
Disk space low (95%) on shared drive EXT-5180,Batch imported ticket for Disk space low (95%) on shared drive EXT-5180. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-5180. User IP: 186.149.89.121,storage,Low,in_progress
Disk space low (95%) on shared drive EXT-5972,Batch imported ticket for Disk space low (95%) on shared drive EXT-5972. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-5972. User IP: 76.24.122.111,storage,Medium,resolved
Payment gateway 500 status on /checkout/EXT-5732,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-5732. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-5732. User IP: 103.40.127.238,application,Low,open
Postgres slow query optimization needed for EXT-5652,Batch imported ticket for Postgres slow query optimization needed for EXT-5652. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-5652. User IP: 112.180.155.99,database,Medium,resolved
Disk space low (95%) on shared drive EXT-5847,Batch imported ticket for Disk space low (95%) on shared drive EXT-5847. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-5847. User IP: 247.165.247.177,storage,Critical,resolved
User session timeout issue on mobile app version EXT-5583,Batch imported ticket for User session timeout issue on mobile app version EXT-5583. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-5583. User IP: 140.179.33.20,application,Medium,in_progress
Postgres slow query optimization needed for EXT-5402,Batch imported ticket for Postgres slow query optimization needed for EXT-5402. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-5402. User IP: 3.138.128.213,database,Critical,in_progress
Unauthorized S3 bucket policy modification on EXT-5399,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-5399. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-5399. User IP: 113.244.49.62,security,Critical,open
Wireless AP EXT-5790 offline in South Wing,Batch imported ticket for Wireless AP EXT-5790 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5790. User IP: 94.146.50.205,network,Low,resolved
Role-based access change request for team EXT-5773,Batch imported ticket for Role-based access change request for team EXT-5773. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-5773. User IP: 219.110.21.229,access,Critical,open
Unusual login activity detected for account EXT-5750,Batch imported ticket for Unusual login activity detected for account EXT-5750. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-5750. User IP: 6.37.192.9,security,Low,open
VPC Peering connection EXT-5853 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-5853 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-5853. User IP: 18.202.136.66,infrastructure,Critical,open
Role-based access change request for team EXT-5662,Batch imported ticket for Role-based access change request for team EXT-5662. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-5662. User IP: 134.52.39.106,access,High,resolved
VPN tunnel EXT-5473 status changed to Down,Batch imported ticket for VPN tunnel EXT-5473 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5473. User IP: 177.189.114.32,network,Medium,in_progress
Connection pool exhaustion on microservice EXT-5597,Batch imported ticket for Connection pool exhaustion on microservice EXT-5597. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-5597. User IP: 250.79.199.79,database,High,resolved
DNS resolution failure for internal host EXT-5221,Batch imported ticket for DNS resolution failure for internal host EXT-5221. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5221. User IP: 104.236.131.211,network,Low,in_progress
