Subject,Description,Service,Impact,Status
Database backup failure for instance EXT-8498 on S3,Batch imported ticket for Database backup failure for instance EXT-8498 on S3. User ID: user4. Please investigate the Database logs for ID EXT-8498. User IP: 247.44.85.233,Database,High,resolved
Password reset requested for executive account EXT-5032,Batch imported ticket for Password reset requested for executive account EXT-5032. User ID: user4. Please investigate the Access logs for ID EXT-5032. User IP: 192.7.21.149,Access,High,open
VPC Peering connection EXT-5910 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-5910 dropped packets detected. User ID: user4. Please investigate the Infrastructure logs for ID EXT-5910. User IP: 181.192.244.100,Infrastructure,Low,resolved
Server cluster EXT-5604 high CPU usage warning,Batch imported ticket for Server cluster EXT-5604 high CPU usage warning. User ID: user4. Please investigate the Infrastructure logs for ID EXT-5604. User IP: 225.127.148.190,Infrastructure,Critical,in_progress
DNS resolution failure for internal host EXT-9029,Batch imported ticket for DNS resolution failure for internal host EXT-9029. User ID: user4. Please investigate the Network logs for ID EXT-9029. User IP: 58.129.164.7,Network,Medium,open
Database backup failure for instance EXT-8992 on S3,Batch imported ticket for Database backup failure for instance EXT-8992 on S3. User ID: user4. Please investigate the Database logs for ID EXT-8992. User IP: 150.84.34.124,Database,Low,open
API Latency increased for /v1/products/list - EXT-4628,Batch imported ticket for API Latency increased for /v1/products/list - EXT-4628. User ID: user4. Please investigate the Application logs for ID EXT-4628. User IP: 37.181.150.34,Application,High,in_progress
VPN tunnel EXT-7542 status changed to Down,Batch imported ticket for VPN tunnel EXT-7542 status changed to Down. User ID: user4. Please investigate the Network logs for ID EXT-7542. User IP: 50.165.228.28,Network,Low,in_progress
Wireless AP EXT-5641 offline in South Wing,Batch imported ticket for Wireless AP EXT-5641 offline in South Wing. User ID: user4. Please investigate the Network logs for ID EXT-5641. User IP: 166.145.83.52,Network,High,in_progress
Server cluster EXT-3037 high CPU usage warning,Batch imported ticket for Server cluster EXT-3037 high CPU usage warning. User ID: user4. Please investigate the Infrastructure logs for ID EXT-3037. User IP: 26.141.208.30,Infrastructure,High,open
Unauthorized S3 bucket policy modification on EXT-9294,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-9294. User ID: user4. Please investigate the Security logs for ID EXT-9294. User IP: 187.190.137.75,Security,Medium,open
Connection pool exhaustion on microservice EXT-4058,Batch imported ticket for Connection pool exhaustion on microservice EXT-4058. User ID: user4. Please investigate the Database logs for ID EXT-4058. User IP: 141.254.96.1,Database,High,resolved
Payment gateway 500 status on /checkout/EXT-1555,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-1555. User ID: user4. Please investigate the Application logs for ID EXT-1555. User IP: 231.127.59.191,Application,Low,in_progress
EFS mount failure on instance EXT-2296,Batch imported ticket for EFS mount failure on instance EXT-2296. User ID: user4. Please investigate the Storage logs for ID EXT-2296. User IP: 5.241.49.234,Storage,High,in_progress
VPC Peering connection EXT-8668 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-8668 dropped packets detected. User ID: user4. Please investigate the Infrastructure logs for ID EXT-8668. User IP: 128.243.242.77,Infrastructure,Low,in_progress
Credential stuffing attempt blocked on IP range EXT-3862.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-3862.0.0/16. User ID: user4. Please investigate the Security logs for ID EXT-3862. User IP: 98.252.51.19,Security,High,in_progress
Unusual login activity detected for account EXT-2740,Batch imported ticket for Unusual login activity detected for account EXT-2740. User ID: user4. Please investigate the Security logs for ID EXT-2740. User IP: 49.223.220.231,Security,Medium,resolved
Wireless AP EXT-7303 offline in South Wing,Batch imported ticket for Wireless AP EXT-7303 offline in South Wing. User ID: user4. Please investigate the Network logs for ID EXT-7303. User IP: 245.14.100.229,Network,Low,in_progress
Payment gateway 500 status on /checkout/EXT-8372,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-8372. User ID: user4. Please investigate the Application logs for ID EXT-8372. User IP: 199.98.103.89,Application,Critical,in_progress
User session timeout issue on mobile app version EXT-3064,Batch imported ticket for User session timeout issue on mobile app version EXT-3064. User ID: user4. Please investigate the Application logs for ID EXT-3064. User IP: 43.243.138.101,Application,Critical,in_progress
Load Balancer EXT-2140 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-2140 health check failures in Region-B. User ID: user4. Please investigate the Infrastructure logs for ID EXT-2140. User IP: 127.182.220.137,Infrastructure,Medium,resolved
Password reset requested for executive account EXT-4135,Batch imported ticket for Password reset requested for executive account EXT-4135. User ID: user4. Please investigate the Access logs for ID EXT-4135. User IP: 16.65.167.43,Access,Low,open
Role-based access change request for team EXT-6109,Batch imported ticket for Role-based access change request for team EXT-6109. User ID: user4. Please investigate the Access logs for ID EXT-6109. User IP: 136.132.52.107,Access,Critical,open
VPN tunnel EXT-1273 status changed to Down,Batch imported ticket for VPN tunnel EXT-1273 status changed to Down. User ID: user4. Please investigate the Network logs for ID EXT-1273. User IP: 188.202.163.129,Network,High,resolved
User session timeout issue on mobile app version EXT-9081,Batch imported ticket for User session timeout issue on mobile app version EXT-9081. User ID: user4. Please investigate the Application logs for ID EXT-9081. User IP: 160.23.144.250,Application,Low,open
S3 bucket EXT-6798 access denied for service role,Batch imported ticket for S3 bucket EXT-6798 access denied for service role. User ID: user4. Please investigate the Storage logs for ID EXT-6798. User IP: 83.15.59.54,Storage,Low,in_progress
Payment gateway 500 status on /checkout/EXT-3687,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-3687. User ID: user4. Please investigate the Application logs for ID EXT-3687. User IP: 22.253.126.235,Application,High,resolved
API Latency increased for /v1/products/list - EXT-1150,Batch imported ticket for API Latency increased for /v1/products/list - EXT-1150. User ID: user4. Please investigate the Application logs for ID EXT-1150. User IP: 208.81.163.201,Application,Low,in_progress
Credential stuffing attempt blocked on IP range EXT-2663.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-2663.0.0/16. User ID: user4. Please investigate the Security logs for ID EXT-2663. User IP: 248.193.5.242,Security,High,open
Password reset requested for executive account EXT-2715,Batch imported ticket for Password reset requested for executive account EXT-2715. User ID: user4. Please investigate the Access logs for ID EXT-2715. User IP: 100.212.195.65,Access,Low,in_progress
EFS mount failure on instance EXT-4035,Batch imported ticket for EFS mount failure on instance EXT-4035. User ID: user4. Please investigate the Storage logs for ID EXT-4035. User IP: 99.255.207.147,Storage,Medium,in_progress
