Subject,Description,Service,Impact,Status
Connection pool exhaustion on microservice EXT-10605,Batch imported ticket for Connection pool exhaustion on microservice EXT-10605. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-10605. User IP: 255.103.167.221,database,Critical,in_progress
Role-based access change request for team EXT-10208,Batch imported ticket for Role-based access change request for team EXT-10208. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-10208. User IP: 163.176.166.76,access,Critical,open
Connection pool exhaustion on microservice EXT-10186,Batch imported ticket for Connection pool exhaustion on microservice EXT-10186. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-10186. User IP: 71.248.150.168,database,Medium,open
Unauthorized S3 bucket policy modification on EXT-10627,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-10627. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-10627. User IP: 113.162.184.220,security,Low,open
Server cluster EXT-10868 high CPU usage warning,Batch imported ticket for Server cluster EXT-10868 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-10868. User IP: 47.24.227.98,infrastructure,Low,in_progress
Role-based access change request for team EXT-10252,Batch imported ticket for Role-based access change request for team EXT-10252. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-10252. User IP: 147.170.220.154,access,Medium,in_progress
VPC Peering connection EXT-10525 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-10525 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-10525. User IP: 102.194.241.159,infrastructure,Critical,resolved
Server cluster EXT-10620 high CPU usage warning,Batch imported ticket for Server cluster EXT-10620 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-10620. User IP: 173.4.206.185,infrastructure,Critical,in_progress
Wireless AP EXT-10125 offline in South Wing,Batch imported ticket for Wireless AP EXT-10125 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-10125. User IP: 239.81.79.80,network,Critical,open
Wireless AP EXT-10833 offline in South Wing,Batch imported ticket for Wireless AP EXT-10833 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-10833. User IP: 210.149.147.94,network,High,resolved
User session timeout issue on mobile app version EXT-10519,Batch imported ticket for User session timeout issue on mobile app version EXT-10519. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-10519. User IP: 181.144.8.196,application,High,resolved
VPC Peering connection EXT-10545 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-10545 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-10545. User IP: 152.61.183.36,infrastructure,Low,resolved
Wireless AP EXT-10934 offline in South Wing,Batch imported ticket for Wireless AP EXT-10934 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-10934. User IP: 69.247.45.195,network,High,resolved
API Latency increased for /v1/products/list - EXT-10706,Batch imported ticket for API Latency increased for /v1/products/list - EXT-10706. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-10706. User IP: 143.203.176.255,application,High,resolved
Unusual login activity detected for account EXT-10195,Batch imported ticket for Unusual login activity detected for account EXT-10195. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-10195. User IP: 252.153.152.221,security,High,open
EFS mount failure on instance EXT-10999,Batch imported ticket for EFS mount failure on instance EXT-10999. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-10999. User IP: 171.100.195.74,storage,Medium,resolved
Disk space low (95%) on shared drive EXT-10171,Batch imported ticket for Disk space low (95%) on shared drive EXT-10171. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-10171. User IP: 155.40.129.62,storage,Critical,resolved
Credential stuffing attempt blocked on IP range EXT-10112.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-10112.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-10112. User IP: 28.139.165.201,security,Low,in_progress
EFS mount failure on instance EXT-10707,Batch imported ticket for EFS mount failure on instance EXT-10707. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-10707. User IP: 157.64.194.199,storage,Critical,in_progress
Payment gateway 500 status on /checkout/EXT-10469,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-10469. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-10469. User IP: 140.132.210.169,application,Critical,in_progress
VPN tunnel EXT-10211 status changed to Down,Batch imported ticket for VPN tunnel EXT-10211 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-10211. User IP: 174.107.114.212,network,Medium,resolved
