Subject,Description,Service,Impact,Status
Postgres slow query optimization needed for EXT-2140,Batch imported ticket for Postgres slow query optimization needed for EXT-2140. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-2140. User IP: 74.137.248.28,database,Low,resolved
Disk space low (95%) on shared drive EXT-2265,Batch imported ticket for Disk space low (95%) on shared drive EXT-2265. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-2265. User IP: 28.1.106.33,storage,Critical,in_progress
VPN tunnel EXT-2885 status changed to Down,Batch imported ticket for VPN tunnel EXT-2885 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-2885. User IP: 170.157.123.190,network,Medium,open
Database backup failure for instance EXT-2852 on S3,Batch imported ticket for Database backup failure for instance EXT-2852 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-2852. User IP: 245.115.225.31,database,Low,in_progress
User session timeout issue on mobile app version EXT-2159,Batch imported ticket for User session timeout issue on mobile app version EXT-2159. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-2159. User IP: 221.166.121.210,application,High,in_progress
API Latency increased for /v1/products/list - EXT-2971,Batch imported ticket for API Latency increased for /v1/products/list - EXT-2971. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-2971. User IP: 221.140.66.96,application,Medium,open
DNS resolution failure for internal host EXT-2644,Batch imported ticket for DNS resolution failure for internal host EXT-2644. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-2644. User IP: 70.74.68.247,network,High,in_progress
Disk space low (95%) on shared drive EXT-2775,Batch imported ticket for Disk space low (95%) on shared drive EXT-2775. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-2775. User IP: 178.87.38.121,storage,High,resolved
Role-based access change request for team EXT-2225,Batch imported ticket for Role-based access change request for team EXT-2225. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-2225. User IP: 66.142.195.251,access,High,open
EFS mount failure on instance EXT-2406,Batch imported ticket for EFS mount failure on instance EXT-2406. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-2406. User IP: 122.26.248.214,storage,Critical,in_progress
Wireless AP EXT-2430 offline in South Wing,Batch imported ticket for Wireless AP EXT-2430 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-2430. User IP: 20.202.188.133,network,Critical,open
EFS mount failure on instance EXT-2580,Batch imported ticket for EFS mount failure on instance EXT-2580. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-2580. User IP: 159.59.147.51,storage,Medium,open
Connection pool exhaustion on microservice EXT-2796,Batch imported ticket for Connection pool exhaustion on microservice EXT-2796. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-2796. User IP: 11.195.189.172,database,Critical,open
Payment gateway 500 status on /checkout/EXT-2406,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-2406. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-2406. User IP: 35.196.226.29,application,Critical,open
VPN tunnel EXT-2826 status changed to Down,Batch imported ticket for VPN tunnel EXT-2826 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-2826. User IP: 81.190.29.70,network,Medium,open
Disk space low (95%) on shared drive EXT-2666,Batch imported ticket for Disk space low (95%) on shared drive EXT-2666. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-2666. User IP: 60.20.246.26,storage,Critical,in_progress
Disk space low (95%) on shared drive EXT-2574,Batch imported ticket for Disk space low (95%) on shared drive EXT-2574. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-2574. User IP: 163.189.195.86,storage,Low,in_progress
DNS resolution failure for internal host EXT-2216,Batch imported ticket for DNS resolution failure for internal host EXT-2216. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-2216. User IP: 89.192.240.117,network,Low,resolved
Unauthorized S3 bucket policy modification on EXT-2912,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-2912. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-2912. User IP: 243.223.71.71,security,High,open
Disk space low (95%) on shared drive EXT-2769,Batch imported ticket for Disk space low (95%) on shared drive EXT-2769. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-2769. User IP: 249.53.202.109,storage,Low,resolved
VPC Peering connection EXT-2582 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-2582 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-2582. User IP: 75.228.244.72,infrastructure,Low,open
VPC Peering connection EXT-2221 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-2221 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-2221. User IP: 111.45.137.239,infrastructure,High,resolved
Connection pool exhaustion on microservice EXT-2101,Batch imported ticket for Connection pool exhaustion on microservice EXT-2101. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-2101. User IP: 108.198.34.34,database,High,resolved
Credential stuffing attempt blocked on IP range EXT-2438.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-2438.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-2438. User IP: 126.225.134.52,security,High,resolved
DNS resolution failure for internal host EXT-2426,Batch imported ticket for DNS resolution failure for internal host EXT-2426. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-2426. User IP: 87.177.218.157,network,High,open
DNS resolution failure for internal host EXT-2675,Batch imported ticket for DNS resolution failure for internal host EXT-2675. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-2675. User IP: 160.200.159.160,network,Low,resolved
Unauthorized S3 bucket policy modification on EXT-2552,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-2552. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-2552. User IP: 174.149.165.60,security,Critical,resolved
Password reset requested for executive account EXT-2362,Batch imported ticket for Password reset requested for executive account EXT-2362. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-2362. User IP: 185.10.35.86,access,Critical,in_progress
Server cluster EXT-2152 high CPU usage warning,Batch imported ticket for Server cluster EXT-2152 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-2152. User IP: 140.191.37.223,infrastructure,Medium,open
Password reset requested for executive account EXT-2975,Batch imported ticket for Password reset requested for executive account EXT-2975. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-2975. User IP: 244.123.197.238,access,High,in_progress
Unusual login activity detected for account EXT-2591,Batch imported ticket for Unusual login activity detected for account EXT-2591. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-2591. User IP: 184.118.150.39,security,Critical,resolved
VPN tunnel EXT-2780 status changed to Down,Batch imported ticket for VPN tunnel EXT-2780 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-2780. User IP: 73.185.177.40,network,Critical,resolved
Credential stuffing attempt blocked on IP range EXT-2128.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-2128.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-2128. User IP: 206.46.68.189,security,High,resolved
API Latency increased for /v1/products/list - EXT-2965,Batch imported ticket for API Latency increased for /v1/products/list - EXT-2965. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-2965. User IP: 147.157.12.25,application,Medium,open
Server cluster EXT-2237 high CPU usage warning,Batch imported ticket for Server cluster EXT-2237 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-2237. User IP: 128.208.140.73,infrastructure,High,resolved
DNS resolution failure for internal host EXT-2362,Batch imported ticket for DNS resolution failure for internal host EXT-2362. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-2362. User IP: 78.16.254.193,network,Low,resolved
Unauthorized S3 bucket policy modification on EXT-2804,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-2804. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-2804. User IP: 128.116.193.149,security,Low,resolved
VPN tunnel EXT-2834 status changed to Down,Batch imported ticket for VPN tunnel EXT-2834 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-2834. User IP: 126.40.244.133,network,High,open
VPN tunnel EXT-2889 status changed to Down,Batch imported ticket for VPN tunnel EXT-2889 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-2889. User IP: 6.164.5.142,network,High,in_progress
API Latency increased for /v1/products/list - EXT-2344,Batch imported ticket for API Latency increased for /v1/products/list - EXT-2344. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-2344. User IP: 91.247.55.111,application,Critical,open
