Subject,Description,Service,Impact,Status
Unauthorized S3 bucket policy modification on EXT-6960,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-6960. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6960. User IP: 61.168.5.50,security,Low,in_progress
EFS mount failure on instance EXT-6108,Batch imported ticket for EFS mount failure on instance EXT-6108. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-6108. User IP: 105.24.156.185,storage,Low,resolved
Disk space low (95%) on shared drive EXT-6107,Batch imported ticket for Disk space low (95%) on shared drive EXT-6107. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-6107. User IP: 50.106.132.201,storage,Low,in_progress
Credential stuffing attempt blocked on IP range EXT-6881.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-6881.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6881. User IP: 43.38.6.21,security,High,resolved
Unusual login activity detected for account EXT-6452,Batch imported ticket for Unusual login activity detected for account EXT-6452. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6452. User IP: 72.231.103.3,security,Critical,open
Unusual login activity detected for account EXT-6163,Batch imported ticket for Unusual login activity detected for account EXT-6163. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6163. User IP: 6.40.53.136,security,Medium,in_progress
Credential stuffing attempt blocked on IP range EXT-6793.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-6793.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6793. User IP: 107.41.76.64,security,Critical,in_progress
Postgres slow query optimization needed for EXT-6278,Batch imported ticket for Postgres slow query optimization needed for EXT-6278. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-6278. User IP: 236.205.172.45,database,Medium,in_progress
Load Balancer EXT-6794 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-6794 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-6794. User IP: 54.255.12.51,infrastructure,Medium,resolved
Server cluster EXT-6934 high CPU usage warning,Batch imported ticket for Server cluster EXT-6934 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-6934. User IP: 66.101.87.93,infrastructure,Critical,in_progress
Unauthorized S3 bucket policy modification on EXT-6772,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-6772. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6772. User IP: 214.60.168.138,security,Low,resolved
User session timeout issue on mobile app version EXT-6800,Batch imported ticket for User session timeout issue on mobile app version EXT-6800. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-6800. User IP: 145.84.193.216,application,Low,open
Role-based access change request for team EXT-6190,Batch imported ticket for Role-based access change request for team EXT-6190. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-6190. User IP: 25.29.98.115,access,Low,resolved
DNS resolution failure for internal host EXT-6885,Batch imported ticket for DNS resolution failure for internal host EXT-6885. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6885. User IP: 12.189.172.222,network,Critical,in_progress
Load Balancer EXT-6864 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-6864 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-6864. User IP: 59.240.164.129,infrastructure,Low,resolved
DNS resolution failure for internal host EXT-6628,Batch imported ticket for DNS resolution failure for internal host EXT-6628. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6628. User IP: 16.90.63.99,network,High,in_progress
User session timeout issue on mobile app version EXT-6501,Batch imported ticket for User session timeout issue on mobile app version EXT-6501. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-6501. User IP: 193.188.52.108,application,Critical,resolved
Role-based access change request for team EXT-6756,Batch imported ticket for Role-based access change request for team EXT-6756. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-6756. User IP: 244.145.40.225,access,Low,in_progress
DNS resolution failure for internal host EXT-6102,Batch imported ticket for DNS resolution failure for internal host EXT-6102. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6102. User IP: 115.5.175.93,network,Low,in_progress
EFS mount failure on instance EXT-6446,Batch imported ticket for EFS mount failure on instance EXT-6446. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-6446. User IP: 43.130.203.155,storage,High,resolved
DNS resolution failure for internal host EXT-6307,Batch imported ticket for DNS resolution failure for internal host EXT-6307. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6307. User IP: 194.232.37.98,network,Medium,open
S3 bucket EXT-6142 access denied for service role,Batch imported ticket for S3 bucket EXT-6142 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-6142. User IP: 69.248.197.164,storage,High,resolved
Credential stuffing attempt blocked on IP range EXT-6284.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-6284.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6284. User IP: 8.44.85.250,security,Low,in_progress
S3 bucket EXT-6705 access denied for service role,Batch imported ticket for S3 bucket EXT-6705 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-6705. User IP: 229.125.226.220,storage,High,resolved
Wireless AP EXT-6831 offline in South Wing,Batch imported ticket for Wireless AP EXT-6831 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6831. User IP: 174.133.37.240,network,Low,in_progress
VPN tunnel EXT-6908 status changed to Down,Batch imported ticket for VPN tunnel EXT-6908 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6908. User IP: 1.62.65.201,network,Low,resolved
Postgres slow query optimization needed for EXT-6718,Batch imported ticket for Postgres slow query optimization needed for EXT-6718. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-6718. User IP: 228.119.23.230,database,Critical,open
VPC Peering connection EXT-6661 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-6661 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-6661. User IP: 166.195.104.38,infrastructure,Low,open
Database backup failure for instance EXT-6404 on S3,Batch imported ticket for Database backup failure for instance EXT-6404 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-6404. User IP: 138.150.50.30,database,Low,open
Credential stuffing attempt blocked on IP range EXT-6383.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-6383.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6383. User IP: 194.240.30.147,security,Low,resolved
VPC Peering connection EXT-6128 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-6128 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-6128. User IP: 216.7.188.211,infrastructure,Medium,resolved
Unauthorized S3 bucket policy modification on EXT-6298,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-6298. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6298. User IP: 121.28.205.251,security,Critical,in_progress
Disk space low (95%) on shared drive EXT-6167,Batch imported ticket for Disk space low (95%) on shared drive EXT-6167. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-6167. User IP: 95.229.253.159,storage,Critical,in_progress
Unauthorized S3 bucket policy modification on EXT-6521,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-6521. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6521. User IP: 168.128.139.158,security,Low,resolved
Credential stuffing attempt blocked on IP range EXT-6418.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-6418.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-6418. User IP: 119.202.103.179,security,High,open
Postgres slow query optimization needed for EXT-6625,Batch imported ticket for Postgres slow query optimization needed for EXT-6625. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-6625. User IP: 197.8.106.224,database,Critical,resolved
API Latency increased for /v1/products/list - EXT-6212,Batch imported ticket for API Latency increased for /v1/products/list - EXT-6212. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-6212. User IP: 169.169.227.57,application,Critical,open
EFS mount failure on instance EXT-6748,Batch imported ticket for EFS mount failure on instance EXT-6748. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-6748. User IP: 250.157.216.27,storage,High,open
S3 bucket EXT-6701 access denied for service role,Batch imported ticket for S3 bucket EXT-6701 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-6701. User IP: 248.40.207.20,storage,High,open
