Subject,Description,Service,Impact,Status
Database backup failure for instance EXT-6842 on S3,Batch imported ticket for Database backup failure for instance EXT-6842 on S3. User ID: user9. Please investigate the Database logs for ID EXT-6842. User IP: 144.168.72.36,Database,Critical,resolved
VPC Peering connection EXT-5935 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-5935 dropped packets detected. User ID: user9. Please investigate the Infrastructure logs for ID EXT-5935. User IP: 2.133.73.27,Infrastructure,High,open
Role-based access change request for team EXT-4262,Batch imported ticket for Role-based access change request for team EXT-4262. User ID: user9. Please investigate the Access logs for ID EXT-4262. User IP: 112.109.63.53,Access,High,open
Load Balancer EXT-5736 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-5736 health check failures in Region-B. User ID: user9. Please investigate the Infrastructure logs for ID EXT-5736. User IP: 39.219.222.151,Infrastructure,Critical,resolved
S3 bucket EXT-1107 access denied for service role,Batch imported ticket for S3 bucket EXT-1107 access denied for service role. User ID: user9. Please investigate the Storage logs for ID EXT-1107. User IP: 47.158.211.52,Storage,Critical,resolved
Unusual login activity detected for account EXT-3146,Batch imported ticket for Unusual login activity detected for account EXT-3146. User ID: user9. Please investigate the Security logs for ID EXT-3146. User IP: 114.193.220.243,Security,High,in_progress
DNS resolution failure for internal host EXT-7127,Batch imported ticket for DNS resolution failure for internal host EXT-7127. User ID: user9. Please investigate the Network logs for ID EXT-7127. User IP: 146.126.91.197,Network,Low,open
User session timeout issue on mobile app version EXT-5834,Batch imported ticket for User session timeout issue on mobile app version EXT-5834. User ID: user9. Please investigate the Application logs for ID EXT-5834. User IP: 28.49.146.252,Application,High,open
Connection pool exhaustion on microservice EXT-4525,Batch imported ticket for Connection pool exhaustion on microservice EXT-4525. User ID: user9. Please investigate the Database logs for ID EXT-4525. User IP: 75.117.250.39,Database,High,open
VPN tunnel EXT-3254 status changed to Down,Batch imported ticket for VPN tunnel EXT-3254 status changed to Down. User ID: user9. Please investigate the Network logs for ID EXT-3254. User IP: 245.236.24.91,Network,High,open
Credential stuffing attempt blocked on IP range EXT-1533.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-1533.0.0/16. User ID: user9. Please investigate the Security logs for ID EXT-1533. User IP: 78.166.162.100,Security,High,open
Wireless AP EXT-5783 offline in South Wing,Batch imported ticket for Wireless AP EXT-5783 offline in South Wing. User ID: user9. Please investigate the Network logs for ID EXT-5783. User IP: 92.96.174.33,Network,Low,open
Payment gateway 500 status on /checkout/EXT-2889,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-2889. User ID: user9. Please investigate the Application logs for ID EXT-2889. User IP: 88.245.108.213,Application,Low,open
Database backup failure for instance EXT-1525 on S3,Batch imported ticket for Database backup failure for instance EXT-1525 on S3. User ID: user9. Please investigate the Database logs for ID EXT-1525. User IP: 147.214.109.121,Database,Medium,in_progress
User session timeout issue on mobile app version EXT-8592,Batch imported ticket for User session timeout issue on mobile app version EXT-8592. User ID: user9. Please investigate the Application logs for ID EXT-8592. User IP: 218.206.116.8,Application,High,in_progress
EFS mount failure on instance EXT-8825,Batch imported ticket for EFS mount failure on instance EXT-8825. User ID: user9. Please investigate the Storage logs for ID EXT-8825. User IP: 191.186.20.130,Storage,Critical,in_progress
Server cluster EXT-3491 high CPU usage warning,Batch imported ticket for Server cluster EXT-3491 high CPU usage warning. User ID: user9. Please investigate the Infrastructure logs for ID EXT-3491. User IP: 125.94.60.37,Infrastructure,High,open
Connection pool exhaustion on microservice EXT-7395,Batch imported ticket for Connection pool exhaustion on microservice EXT-7395. User ID: user9. Please investigate the Database logs for ID EXT-7395. User IP: 130.28.222.120,Database,High,resolved
S3 bucket EXT-2502 access denied for service role,Batch imported ticket for S3 bucket EXT-2502 access denied for service role. User ID: user9. Please investigate the Storage logs for ID EXT-2502. User IP: 103.139.132.195,Storage,Critical,resolved
Database backup failure for instance EXT-5203 on S3,Batch imported ticket for Database backup failure for instance EXT-5203 on S3. User ID: user9. Please investigate the Database logs for ID EXT-5203. User IP: 93.219.148.219,Database,Medium,open
Credential stuffing attempt blocked on IP range EXT-6360.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-6360.0.0/16. User ID: user9. Please investigate the Security logs for ID EXT-6360. User IP: 71.155.131.67,Security,Medium,in_progress
Unusual login activity detected for account EXT-9506,Batch imported ticket for Unusual login activity detected for account EXT-9506. User ID: user9. Please investigate the Security logs for ID EXT-9506. User IP: 254.103.232.89,Security,Critical,in_progress
