Subject,Description,Service,Impact,Status
Connection pool exhaustion on microservice EXT-2124,Batch imported ticket for Connection pool exhaustion on microservice EXT-2124. User ID: user6. Please investigate the Database logs for ID EXT-2124. User IP: 115.253.214.246,Database,Critical,in_progress
Unusual login activity detected for account EXT-2857,Batch imported ticket for Unusual login activity detected for account EXT-2857. User ID: user6. Please investigate the Security logs for ID EXT-2857. User IP: 138.123.24.55,Security,Low,open
Unauthorized S3 bucket policy modification on EXT-1699,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-1699. User ID: user6. Please investigate the Security logs for ID EXT-1699. User IP: 215.251.32.53,Security,Low,open
Server cluster EXT-1271 high CPU usage warning,Batch imported ticket for Server cluster EXT-1271 high CPU usage warning. User ID: user6. Please investigate the Infrastructure logs for ID EXT-1271. User IP: 231.29.216.111,Infrastructure,High,in_progress
Connection pool exhaustion on microservice EXT-8666,Batch imported ticket for Connection pool exhaustion on microservice EXT-8666. User ID: user6. Please investigate the Database logs for ID EXT-8666. User IP: 214.198.127.207,Database,Medium,in_progress
S3 bucket EXT-5591 access denied for service role,Batch imported ticket for S3 bucket EXT-5591 access denied for service role. User ID: user6. Please investigate the Storage logs for ID EXT-5591. User IP: 5.42.37.80,Storage,Critical,in_progress
Disk space low (95%) on shared drive EXT-2248,Batch imported ticket for Disk space low (95%) on shared drive EXT-2248. User ID: user6. Please investigate the Storage logs for ID EXT-2248. User IP: 55.198.241.11,Storage,Low,open
Payment gateway 500 status on /checkout/EXT-1223,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-1223. User ID: user6. Please investigate the Application logs for ID EXT-1223. User IP: 57.27.17.52,Application,Medium,in_progress
Unauthorized S3 bucket policy modification on EXT-7418,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-7418. User ID: user6. Please investigate the Security logs for ID EXT-7418. User IP: 137.133.118.253,Security,Critical,open
Payment gateway 500 status on /checkout/EXT-3486,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-3486. User ID: user6. Please investigate the Application logs for ID EXT-3486. User IP: 170.132.91.195,Application,High,open
Wireless AP EXT-5875 offline in South Wing,Batch imported ticket for Wireless AP EXT-5875 offline in South Wing. User ID: user6. Please investigate the Network logs for ID EXT-5875. User IP: 135.32.240.39,Network,Low,resolved
Unusual login activity detected for account EXT-5206,Batch imported ticket for Unusual login activity detected for account EXT-5206. User ID: user6. Please investigate the Security logs for ID EXT-5206. User IP: 245.35.64.168,Security,Medium,resolved
Disk space low (95%) on shared drive EXT-2301,Batch imported ticket for Disk space low (95%) on shared drive EXT-2301. User ID: user6. Please investigate the Storage logs for ID EXT-2301. User IP: 42.189.165.37,Storage,Medium,in_progress
EFS mount failure on instance EXT-9633,Batch imported ticket for EFS mount failure on instance EXT-9633. User ID: user6. Please investigate the Storage logs for ID EXT-9633. User IP: 69.32.88.15,Storage,Medium,resolved
Unauthorized S3 bucket policy modification on EXT-1669,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-1669. User ID: user6. Please investigate the Security logs for ID EXT-1669. User IP: 24.138.25.146,Security,High,open
API Latency increased for /v1/products/list - EXT-6997,Batch imported ticket for API Latency increased for /v1/products/list - EXT-6997. User ID: user6. Please investigate the Application logs for ID EXT-6997. User IP: 209.138.86.221,Application,High,in_progress
Unauthorized S3 bucket policy modification on EXT-5092,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-5092. User ID: user6. Please investigate the Security logs for ID EXT-5092. User IP: 162.232.225.243,Security,Critical,resolved
Unauthorized S3 bucket policy modification on EXT-2059,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-2059. User ID: user6. Please investigate the Security logs for ID EXT-2059. User IP: 138.50.158.75,Security,Medium,in_progress
Disk space low (95%) on shared drive EXT-4993,Batch imported ticket for Disk space low (95%) on shared drive EXT-4993. User ID: user6. Please investigate the Storage logs for ID EXT-4993. User IP: 216.126.222.132,Storage,High,in_progress
Load Balancer EXT-3460 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-3460 health check failures in Region-B. User ID: user6. Please investigate the Infrastructure logs for ID EXT-3460. User IP: 193.32.50.40,Infrastructure,Critical,in_progress
Credential stuffing attempt blocked on IP range EXT-1308.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-1308.0.0/16. User ID: user6. Please investigate the Security logs for ID EXT-1308. User IP: 253.56.121.150,Security,Medium,in_progress
Payment gateway 500 status on /checkout/EXT-7162,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-7162. User ID: user6. Please investigate the Application logs for ID EXT-7162. User IP: 218.163.45.171,Application,High,open
S3 bucket EXT-9385 access denied for service role,Batch imported ticket for S3 bucket EXT-9385 access denied for service role. User ID: user6. Please investigate the Storage logs for ID EXT-9385. User IP: 96.100.252.202,Storage,Low,open
Credential stuffing attempt blocked on IP range EXT-6983.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-6983.0.0/16. User ID: user6. Please investigate the Security logs for ID EXT-6983. User IP: 209.17.92.113,Security,Low,in_progress
Disk space low (95%) on shared drive EXT-2875,Batch imported ticket for Disk space low (95%) on shared drive EXT-2875. User ID: user6. Please investigate the Storage logs for ID EXT-2875. User IP: 153.152.173.122,Storage,Low,resolved
Role-based access change request for team EXT-2139,Batch imported ticket for Role-based access change request for team EXT-2139. User ID: user6. Please investigate the Access logs for ID EXT-2139. User IP: 89.174.57.178,Access,High,resolved
Disk space low (95%) on shared drive EXT-4066,Batch imported ticket for Disk space low (95%) on shared drive EXT-4066. User ID: user6. Please investigate the Storage logs for ID EXT-4066. User IP: 224.194.198.21,Storage,High,resolved
Role-based access change request for team EXT-3676,Batch imported ticket for Role-based access change request for team EXT-3676. User ID: user6. Please investigate the Access logs for ID EXT-3676. User IP: 192.84.67.97,Access,Medium,open
Postgres slow query optimization needed for EXT-5720,Batch imported ticket for Postgres slow query optimization needed for EXT-5720. User ID: user6. Please investigate the Database logs for ID EXT-5720. User IP: 22.106.11.111,Database,High,in_progress
DNS resolution failure for internal host EXT-7951,Batch imported ticket for DNS resolution failure for internal host EXT-7951. User ID: user6. Please investigate the Network logs for ID EXT-7951. User IP: 250.242.181.50,Network,Critical,resolved
