Subject,Description,Service,Impact,Status
Postgres slow query optimization needed for EXT-7534,Batch imported ticket for Postgres slow query optimization needed for EXT-7534. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-7534. User IP: 15.37.63.86,database,High,open
VPC Peering connection EXT-7727 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-7727 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7727. User IP: 74.83.133.21,infrastructure,Critical,resolved
Password reset requested for executive account EXT-7493,Batch imported ticket for Password reset requested for executive account EXT-7493. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-7493. User IP: 189.9.19.243,access,High,open
VPN tunnel EXT-7193 status changed to Down,Batch imported ticket for VPN tunnel EXT-7193 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-7193. User IP: 153.111.254.56,network,Critical,resolved
VPN tunnel EXT-7315 status changed to Down,Batch imported ticket for VPN tunnel EXT-7315 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-7315. User IP: 204.228.61.225,network,Critical,open
Password reset requested for executive account EXT-7162,Batch imported ticket for Password reset requested for executive account EXT-7162. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-7162. User IP: 229.237.5.159,access,Critical,open
Wireless AP EXT-7444 offline in South Wing,Batch imported ticket for Wireless AP EXT-7444 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-7444. User IP: 121.235.123.21,network,Low,resolved
VPC Peering connection EXT-7769 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-7769 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7769. User IP: 234.125.190.120,infrastructure,Medium,open
Wireless AP EXT-7828 offline in South Wing,Batch imported ticket for Wireless AP EXT-7828 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-7828. User IP: 183.187.102.235,network,Critical,resolved
Unusual login activity detected for account EXT-7522,Batch imported ticket for Unusual login activity detected for account EXT-7522. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-7522. User IP: 147.231.116.16,security,Medium,open
Unusual login activity detected for account EXT-7903,Batch imported ticket for Unusual login activity detected for account EXT-7903. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-7903. User IP: 206.227.192.137,security,Medium,open
S3 bucket EXT-7699 access denied for service role,Batch imported ticket for S3 bucket EXT-7699 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-7699. User IP: 14.235.39.80,storage,High,resolved
Unauthorized S3 bucket policy modification on EXT-7945,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-7945. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-7945. User IP: 175.31.100.222,security,Medium,open
S3 bucket EXT-7930 access denied for service role,Batch imported ticket for S3 bucket EXT-7930 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-7930. User IP: 192.131.141.54,storage,Medium,open
Unauthorized S3 bucket policy modification on EXT-7795,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-7795. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-7795. User IP: 133.132.92.164,security,Medium,in_progress
Load Balancer EXT-7562 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-7562 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7562. User IP: 36.66.201.211,infrastructure,Low,in_progress
Wireless AP EXT-7901 offline in South Wing,Batch imported ticket for Wireless AP EXT-7901 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-7901. User IP: 16.19.105.161,network,High,resolved
Wireless AP EXT-7270 offline in South Wing,Batch imported ticket for Wireless AP EXT-7270 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-7270. User IP: 65.186.92.162,network,Low,resolved
Load Balancer EXT-7382 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-7382 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7382. User IP: 143.128.200.35,infrastructure,High,open
User session timeout issue on mobile app version EXT-7152,Batch imported ticket for User session timeout issue on mobile app version EXT-7152. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-7152. User IP: 133.183.131.198,application,Critical,open
API Latency increased for /v1/products/list - EXT-7776,Batch imported ticket for API Latency increased for /v1/products/list - EXT-7776. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-7776. User IP: 157.154.92.158,application,Critical,open
Wireless AP EXT-7818 offline in South Wing,Batch imported ticket for Wireless AP EXT-7818 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-7818. User IP: 87.34.252.172,network,Medium,resolved
User session timeout issue on mobile app version EXT-7821,Batch imported ticket for User session timeout issue on mobile app version EXT-7821. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-7821. User IP: 159.112.84.222,application,High,open
VPC Peering connection EXT-7634 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-7634 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7634. User IP: 205.170.84.159,infrastructure,Low,in_progress
Role-based access change request for team EXT-7571,Batch imported ticket for Role-based access change request for team EXT-7571. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-7571. User IP: 252.230.246.174,access,Medium,open
EFS mount failure on instance EXT-7397,Batch imported ticket for EFS mount failure on instance EXT-7397. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-7397. User IP: 26.233.12.150,storage,High,open
EFS mount failure on instance EXT-7363,Batch imported ticket for EFS mount failure on instance EXT-7363. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-7363. User IP: 25.56.26.12,storage,High,in_progress
Unauthorized S3 bucket policy modification on EXT-7403,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-7403. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-7403. User IP: 20.2.68.210,security,Medium,resolved
Postgres slow query optimization needed for EXT-7308,Batch imported ticket for Postgres slow query optimization needed for EXT-7308. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-7308. User IP: 29.159.160.59,database,High,open
User session timeout issue on mobile app version EXT-7744,Batch imported ticket for User session timeout issue on mobile app version EXT-7744. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-7744. User IP: 23.238.45.104,application,Low,resolved
Credential stuffing attempt blocked on IP range EXT-7478.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-7478.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-7478. User IP: 105.94.166.254,security,Medium,resolved
VPC Peering connection EXT-7405 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-7405 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7405. User IP: 19.112.87.25,infrastructure,Medium,open
Load Balancer EXT-7372 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-7372 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7372. User IP: 49.42.221.209,infrastructure,Low,resolved
Unusual login activity detected for account EXT-7372,Batch imported ticket for Unusual login activity detected for account EXT-7372. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-7372. User IP: 246.240.89.177,security,Critical,open
