Subject,Description,Service,Impact,Status
Disk space low (95%) on shared drive EXT-9825,Batch imported ticket for Disk space low (95%) on shared drive EXT-9825. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-9825. User IP: 154.5.159.103,storage,Medium,open
EFS mount failure on instance EXT-9819,Batch imported ticket for EFS mount failure on instance EXT-9819. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-9819. User IP: 97.228.200.212,storage,Critical,in_progress
Role-based access change request for team EXT-9794,Batch imported ticket for Role-based access change request for team EXT-9794. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9794. User IP: 32.160.71.92,access,Low,resolved
Payment gateway 500 status on /checkout/EXT-9752,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-9752. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-9752. User IP: 247.193.244.13,application,High,in_progress
API Latency increased for /v1/products/list - EXT-9221,Batch imported ticket for API Latency increased for /v1/products/list - EXT-9221. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-9221. User IP: 198.249.51.155,application,Low,in_progress
Password reset requested for executive account EXT-9852,Batch imported ticket for Password reset requested for executive account EXT-9852. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9852. User IP: 213.202.158.99,access,High,open
Wireless AP EXT-9835 offline in South Wing,Batch imported ticket for Wireless AP EXT-9835 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-9835. User IP: 254.177.34.248,network,High,open
EFS mount failure on instance EXT-9958,Batch imported ticket for EFS mount failure on instance EXT-9958. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-9958. User IP: 133.236.133.89,storage,Medium,resolved
Role-based access change request for team EXT-9432,Batch imported ticket for Role-based access change request for team EXT-9432. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9432. User IP: 108.221.58.226,access,Critical,open
EFS mount failure on instance EXT-9300,Batch imported ticket for EFS mount failure on instance EXT-9300. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-9300. User IP: 253.52.198.64,storage,Medium,in_progress
Server cluster EXT-9573 high CPU usage warning,Batch imported ticket for Server cluster EXT-9573 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-9573. User IP: 252.19.133.179,infrastructure,Medium,open
User session timeout issue on mobile app version EXT-9135,Batch imported ticket for User session timeout issue on mobile app version EXT-9135. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-9135. User IP: 222.233.152.176,application,Low,resolved
Role-based access change request for team EXT-9697,Batch imported ticket for Role-based access change request for team EXT-9697. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9697. User IP: 36.83.182.105,access,Critical,in_progress
Wireless AP EXT-9417 offline in South Wing,Batch imported ticket for Wireless AP EXT-9417 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-9417. User IP: 176.22.166.205,network,Critical,open
