Subject,Description,Service,Impact,Status
Role-based access change request for team EXT-3319,Batch imported ticket for Role-based access change request for team EXT-3319. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-3319. User IP: 114.2.65.246,access,High,open
Disk space low (95%) on shared drive EXT-3705,Batch imported ticket for Disk space low (95%) on shared drive EXT-3705. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-3705. User IP: 229.4.224.72,storage,Critical,in_progress
Wireless AP EXT-3521 offline in South Wing,Batch imported ticket for Wireless AP EXT-3521 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-3521. User IP: 123.78.139.116,network,High,open
Password reset requested for executive account EXT-3340,Batch imported ticket for Password reset requested for executive account EXT-3340. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-3340. User IP: 98.0.193.185,access,Critical,open
S3 bucket EXT-3439 access denied for service role,Batch imported ticket for S3 bucket EXT-3439 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-3439. User IP: 34.186.27.252,storage,Critical,open
Disk space low (95%) on shared drive EXT-3358,Batch imported ticket for Disk space low (95%) on shared drive EXT-3358. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-3358. User IP: 39.249.1.242,storage,High,open
Unusual login activity detected for account EXT-3378,Batch imported ticket for Unusual login activity detected for account EXT-3378. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-3378. User IP: 73.254.101.19,security,Medium,open
User session timeout issue on mobile app version EXT-3637,Batch imported ticket for User session timeout issue on mobile app version EXT-3637. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-3637. User IP: 130.5.37.71,application,High,resolved
Password reset requested for executive account EXT-3336,Batch imported ticket for Password reset requested for executive account EXT-3336. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-3336. User IP: 1.82.184.203,access,Critical,open
S3 bucket EXT-3512 access denied for service role,Batch imported ticket for S3 bucket EXT-3512 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-3512. User IP: 35.131.143.226,storage,Critical,in_progress
API Latency increased for /v1/products/list - EXT-3700,Batch imported ticket for API Latency increased for /v1/products/list - EXT-3700. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-3700. User IP: 130.224.128.164,application,High,open
DNS resolution failure for internal host EXT-3379,Batch imported ticket for DNS resolution failure for internal host EXT-3379. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-3379. User IP: 236.66.100.149,network,Low,open
Database backup failure for instance EXT-3675 on S3,Batch imported ticket for Database backup failure for instance EXT-3675 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-3675. User IP: 167.153.174.241,database,Critical,resolved
Credential stuffing attempt blocked on IP range EXT-3268.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-3268.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-3268. User IP: 120.199.71.159,security,Low,in_progress
User session timeout issue on mobile app version EXT-3296,Batch imported ticket for User session timeout issue on mobile app version EXT-3296. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-3296. User IP: 33.87.78.1,application,Critical,in_progress
VPC Peering connection EXT-3851 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-3851 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-3851. User IP: 160.126.197.8,infrastructure,Low,in_progress
Password reset requested for executive account EXT-3390,Batch imported ticket for Password reset requested for executive account EXT-3390. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-3390. User IP: 231.75.75.209,access,Critical,in_progress
VPN tunnel EXT-3791 status changed to Down,Batch imported ticket for VPN tunnel EXT-3791 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-3791. User IP: 205.156.91.199,network,Critical,open
VPN tunnel EXT-3290 status changed to Down,Batch imported ticket for VPN tunnel EXT-3290 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-3290. User IP: 213.209.187.74,network,Low,resolved
Credential stuffing attempt blocked on IP range EXT-3335.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-3335.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-3335. User IP: 238.4.233.173,security,Low,in_progress
VPC Peering connection EXT-3139 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-3139 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-3139. User IP: 175.72.66.38,infrastructure,Medium,in_progress
EFS mount failure on instance EXT-3793,Batch imported ticket for EFS mount failure on instance EXT-3793. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-3793. User IP: 206.120.242.236,storage,Medium,open
Database backup failure for instance EXT-3691 on S3,Batch imported ticket for Database backup failure for instance EXT-3691 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-3691. User IP: 209.175.225.38,database,Critical,in_progress
Role-based access change request for team EXT-3231,Batch imported ticket for Role-based access change request for team EXT-3231. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-3231. User IP: 18.220.207.106,access,High,resolved
EFS mount failure on instance EXT-3132,Batch imported ticket for EFS mount failure on instance EXT-3132. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-3132. User IP: 60.225.167.232,storage,High,in_progress
Role-based access change request for team EXT-3987,Batch imported ticket for Role-based access change request for team EXT-3987. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-3987. User IP: 17.43.41.11,access,Low,open
S3 bucket EXT-3718 access denied for service role,Batch imported ticket for S3 bucket EXT-3718 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-3718. User IP: 165.240.4.184,storage,Critical,resolved
Connection pool exhaustion on microservice EXT-3196,Batch imported ticket for Connection pool exhaustion on microservice EXT-3196. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-3196. User IP: 214.75.2.254,database,Critical,resolved
VPN tunnel EXT-3969 status changed to Down,Batch imported ticket for VPN tunnel EXT-3969 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-3969. User IP: 187.70.36.204,network,Low,open
Password reset requested for executive account EXT-3306,Batch imported ticket for Password reset requested for executive account EXT-3306. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-3306. User IP: 136.194.233.242,access,Medium,in_progress
VPC Peering connection EXT-3729 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-3729 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-3729. User IP: 122.23.62.141,infrastructure,Critical,open
