Subject,Description,Service,Impact,Status
VPC Peering connection EXT-9682 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-9682 dropped packets detected. User ID: user3. Please investigate the Infrastructure logs for ID EXT-9682. User IP: 11.53.171.69,Infrastructure,Medium,in_progress
Role-based access change request for team EXT-1018,Batch imported ticket for Role-based access change request for team EXT-1018. User ID: user3. Please investigate the Access logs for ID EXT-1018. User IP: 16.240.93.127,Access,Medium,open
Credential stuffing attempt blocked on IP range EXT-2873.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-2873.0.0/16. User ID: user3. Please investigate the Security logs for ID EXT-2873. User IP: 252.74.40.237,Security,Critical,open
Load Balancer EXT-3845 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-3845 health check failures in Region-B. User ID: user3. Please investigate the Infrastructure logs for ID EXT-3845. User IP: 138.221.111.70,Infrastructure,Critical,resolved
VPN tunnel EXT-3726 status changed to Down,Batch imported ticket for VPN tunnel EXT-3726 status changed to Down. User ID: user3. Please investigate the Network logs for ID EXT-3726. User IP: 17.234.151.102,Network,Low,in_progress
Server cluster EXT-5752 high CPU usage warning,Batch imported ticket for Server cluster EXT-5752 high CPU usage warning. User ID: user3. Please investigate the Infrastructure logs for ID EXT-5752. User IP: 37.75.83.52,Infrastructure,Critical,open
Server cluster EXT-2811 high CPU usage warning,Batch imported ticket for Server cluster EXT-2811 high CPU usage warning. User ID: user3. Please investigate the Infrastructure logs for ID EXT-2811. User IP: 84.227.162.41,Infrastructure,High,open
Payment gateway 500 status on /checkout/EXT-8364,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-8364. User ID: user3. Please investigate the Application logs for ID EXT-8364. User IP: 92.13.179.188,Application,High,resolved
Connection pool exhaustion on microservice EXT-5918,Batch imported ticket for Connection pool exhaustion on microservice EXT-5918. User ID: user3. Please investigate the Database logs for ID EXT-5918. User IP: 173.49.162.49,Database,High,resolved
VPC Peering connection EXT-6479 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-6479 dropped packets detected. User ID: user3. Please investigate the Infrastructure logs for ID EXT-6479. User IP: 122.59.8.123,Infrastructure,High,in_progress
Unusual login activity detected for account EXT-7558,Batch imported ticket for Unusual login activity detected for account EXT-7558. User ID: user3. Please investigate the Security logs for ID EXT-7558. User IP: 98.72.250.166,Security,Low,in_progress
Payment gateway 500 status on /checkout/EXT-4358,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-4358. User ID: user3. Please investigate the Application logs for ID EXT-4358. User IP: 137.190.166.99,Application,Low,open
S3 bucket EXT-4427 access denied for service role,Batch imported ticket for S3 bucket EXT-4427 access denied for service role. User ID: user3. Please investigate the Storage logs for ID EXT-4427. User IP: 152.140.18.120,Storage,Medium,resolved
Wireless AP EXT-1254 offline in South Wing,Batch imported ticket for Wireless AP EXT-1254 offline in South Wing. User ID: user3. Please investigate the Network logs for ID EXT-1254. User IP: 72.148.108.148,Network,Medium,in_progress
Role-based access change request for team EXT-2195,Batch imported ticket for Role-based access change request for team EXT-2195. User ID: user3. Please investigate the Access logs for ID EXT-2195. User IP: 28.171.195.191,Access,High,in_progress
API Latency increased for /v1/products/list - EXT-2651,Batch imported ticket for API Latency increased for /v1/products/list - EXT-2651. User ID: user3. Please investigate the Application logs for ID EXT-2651. User IP: 77.200.118.251,Application,Medium,resolved
Load Balancer EXT-8217 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-8217 health check failures in Region-B. User ID: user3. Please investigate the Infrastructure logs for ID EXT-8217. User IP: 112.254.238.127,Infrastructure,Medium,resolved
DNS resolution failure for internal host EXT-5679,Batch imported ticket for DNS resolution failure for internal host EXT-5679. User ID: user3. Please investigate the Network logs for ID EXT-5679. User IP: 144.12.69.39,Network,Critical,open
Server cluster EXT-8655 high CPU usage warning,Batch imported ticket for Server cluster EXT-8655 high CPU usage warning. User ID: user3. Please investigate the Infrastructure logs for ID EXT-8655. User IP: 218.161.215.116,Infrastructure,Low,resolved
User session timeout issue on mobile app version EXT-9165,Batch imported ticket for User session timeout issue on mobile app version EXT-9165. User ID: user3. Please investigate the Application logs for ID EXT-9165. User IP: 128.68.205.85,Application,High,open
Wireless AP EXT-1063 offline in South Wing,Batch imported ticket for Wireless AP EXT-1063 offline in South Wing. User ID: user3. Please investigate the Network logs for ID EXT-1063. User IP: 59.126.208.231,Network,Critical,in_progress
User session timeout issue on mobile app version EXT-4368,Batch imported ticket for User session timeout issue on mobile app version EXT-4368. User ID: user3. Please investigate the Application logs for ID EXT-4368. User IP: 105.110.109.245,Application,Medium,open
User session timeout issue on mobile app version EXT-3676,Batch imported ticket for User session timeout issue on mobile app version EXT-3676. User ID: user3. Please investigate the Application logs for ID EXT-3676. User IP: 251.123.197.246,Application,Critical,open
Connection pool exhaustion on microservice EXT-3718,Batch imported ticket for Connection pool exhaustion on microservice EXT-3718. User ID: user3. Please investigate the Database logs for ID EXT-3718. User IP: 230.76.10.72,Database,Critical,resolved
Disk space low (95%) on shared drive EXT-5557,Batch imported ticket for Disk space low (95%) on shared drive EXT-5557. User ID: user3. Please investigate the Storage logs for ID EXT-5557. User IP: 152.232.22.27,Storage,High,resolved
EFS mount failure on instance EXT-8959,Batch imported ticket for EFS mount failure on instance EXT-8959. User ID: user3. Please investigate the Storage logs for ID EXT-8959. User IP: 227.167.221.186,Storage,Medium,open
VPC Peering connection EXT-2289 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-2289 dropped packets detected. User ID: user3. Please investigate the Infrastructure logs for ID EXT-2289. User IP: 152.166.55.22,Infrastructure,Critical,open
Load Balancer EXT-8031 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-8031 health check failures in Region-B. User ID: user3. Please investigate the Infrastructure logs for ID EXT-8031. User IP: 49.198.46.105,Infrastructure,Critical,resolved
S3 bucket EXT-8429 access denied for service role,Batch imported ticket for S3 bucket EXT-8429 access denied for service role. User ID: user3. Please investigate the Storage logs for ID EXT-8429. User IP: 148.238.63.226,Storage,Medium,in_progress
