Subject,Description,Service,Impact,Status
Wireless AP EXT-1193 offline in South Wing,Batch imported ticket for Wireless AP EXT-1193 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-1193. User IP: 81.86.66.188,network,Medium,open
DNS resolution failure for internal host EXT-7602,Batch imported ticket for DNS resolution failure for internal host EXT-7602. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-7602. User IP: 249.214.105.134,network,Critical,open
Password reset requested for executive account EXT-8934,Batch imported ticket for Password reset requested for executive account EXT-8934. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-8934. User IP: 167.66.88.223,access,Critical,in_progress
VPC Peering connection EXT-1373 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-1373 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-1373. User IP: 233.230.49.249,infrastructure,Critical,resolved
User session timeout issue on mobile app version EXT-2592,Batch imported ticket for User session timeout issue on mobile app version EXT-2592. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-2592. User IP: 211.63.207.250,application,Critical,resolved
Database backup failure for instance EXT-9193 on S3,Batch imported ticket for Database backup failure for instance EXT-9193 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-9193. User IP: 104.24.86.167,database,High,resolved
Role-based access change request for team EXT-6834,Batch imported ticket for Role-based access change request for team EXT-6834. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-6834. User IP: 101.145.197.61,access,Critical,in_progress
EFS mount failure on instance EXT-8117,Batch imported ticket for EFS mount failure on instance EXT-8117. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-8117. User IP: 43.174.249.86,storage,Critical,resolved
Database backup failure for instance EXT-3795 on S3,Batch imported ticket for Database backup failure for instance EXT-3795 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-3795. User IP: 221.141.64.216,database,Critical,in_progress
Unusual login activity detected for account EXT-2800,Batch imported ticket for Unusual login activity detected for account EXT-2800. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-2800. User IP: 198.181.232.38,security,High,in_progress
Postgres slow query optimization needed for EXT-2787,Batch imported ticket for Postgres slow query optimization needed for EXT-2787. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-2787. User IP: 87.137.185.116,database,High,open
Wireless AP EXT-5232 offline in South Wing,Batch imported ticket for Wireless AP EXT-5232 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5232. User IP: 201.216.185.150,network,Critical,in_progress
Payment gateway 500 status on /checkout/EXT-1131,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-1131. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-1131. User IP: 194.30.248.90,application,High,resolved
User session timeout issue on mobile app version EXT-3099,Batch imported ticket for User session timeout issue on mobile app version EXT-3099. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-3099. User IP: 2.97.62.215,application,Critical,in_progress
Unauthorized S3 bucket policy modification on EXT-5002,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-5002. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-5002. User IP: 50.52.144.205,security,Critical,resolved
Disk space low (95%) on shared drive EXT-3448,Batch imported ticket for Disk space low (95%) on shared drive EXT-3448. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-3448. User IP: 187.87.185.127,storage,Low,resolved
Load Balancer EXT-3839 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-3839 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-3839. User IP: 175.195.235.179,infrastructure,High,resolved
Database backup failure for instance EXT-5114 on S3,Batch imported ticket for Database backup failure for instance EXT-5114 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-5114. User IP: 155.220.21.19,database,High,resolved
Unauthorized S3 bucket policy modification on EXT-8771,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-8771. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-8771. User IP: 72.202.43.3,security,High,resolved
VPN tunnel EXT-9543 status changed to Down,Batch imported ticket for VPN tunnel EXT-9543 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-9543. User IP: 18.225.116.112,network,Medium,open
Role-based access change request for team EXT-4151,Batch imported ticket for Role-based access change request for team EXT-4151. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-4151. User IP: 79.227.148.155,access,Critical,resolved
Payment gateway 500 status on /checkout/EXT-6100,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-6100. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-6100. User IP: 8.121.107.92,application,Medium,open
Database backup failure for instance EXT-1581 on S3,Batch imported ticket for Database backup failure for instance EXT-1581 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-1581. User IP: 151.15.218.168,database,High,open
Postgres slow query optimization needed for EXT-4051,Batch imported ticket for Postgres slow query optimization needed for EXT-4051. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-4051. User IP: 26.31.54.55,database,Low,in_progress
DNS resolution failure for internal host EXT-5643,Batch imported ticket for DNS resolution failure for internal host EXT-5643. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5643. User IP: 211.40.0.129,network,Critical,in_progress
Load Balancer EXT-8902 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-8902 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-8902. User IP: 31.141.7.226,infrastructure,Medium,in_progress
API Latency increased for /v1/products/list - EXT-7314,Batch imported ticket for API Latency increased for /v1/products/list - EXT-7314. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-7314. User IP: 43.219.125.248,application,High,in_progress
S3 bucket EXT-1271 access denied for service role,Batch imported ticket for S3 bucket EXT-1271 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1271. User IP: 16.102.163.39,storage,Medium,in_progress
Password reset requested for executive account EXT-9422,Batch imported ticket for Password reset requested for executive account EXT-9422. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9422. User IP: 218.232.255.16,access,Medium,open
Server cluster EXT-9729 high CPU usage warning,Batch imported ticket for Server cluster EXT-9729 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-9729. User IP: 114.227.40.51,infrastructure,Medium,in_progress
User session timeout issue on mobile app version EXT-5414,Batch imported ticket for User session timeout issue on mobile app version EXT-5414. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-5414. User IP: 178.161.240.200,application,Low,in_progress
Password reset requested for executive account EXT-5569,Batch imported ticket for Password reset requested for executive account EXT-5569. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-5569. User IP: 189.146.233.228,access,High,open
S3 bucket EXT-1280 access denied for service role,Batch imported ticket for S3 bucket EXT-1280 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-1280. User IP: 39.59.166.234,storage,High,open
Role-based access change request for team EXT-8769,Batch imported ticket for Role-based access change request for team EXT-8769. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-8769. User IP: 181.195.107.226,access,Critical,in_progress
S3 bucket EXT-3134 access denied for service role,Batch imported ticket for S3 bucket EXT-3134 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-3134. User IP: 180.44.195.189,storage,High,in_progress
Server cluster EXT-5829 high CPU usage warning,Batch imported ticket for Server cluster EXT-5829 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-5829. User IP: 98.34.183.149,infrastructure,Low,in_progress
Database backup failure for instance EXT-9369 on S3,Batch imported ticket for Database backup failure for instance EXT-9369 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-9369. User IP: 35.248.67.239,database,Low,in_progress
EFS mount failure on instance EXT-6450,Batch imported ticket for EFS mount failure on instance EXT-6450. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-6450. User IP: 142.131.193.90,storage,Low,in_progress
Payment gateway 500 status on /checkout/EXT-6670,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-6670. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-6670. User IP: 121.180.32.198,application,Medium,in_progress
Disk space low (95%) on shared drive EXT-9221,Batch imported ticket for Disk space low (95%) on shared drive EXT-9221. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-9221. User IP: 66.38.167.189,storage,Critical,resolved
Role-based access change request for team EXT-7196,Batch imported ticket for Role-based access change request for team EXT-7196. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-7196. User IP: 139.83.222.205,access,Critical,open
VPN tunnel EXT-7909 status changed to Down,Batch imported ticket for VPN tunnel EXT-7909 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-7909. User IP: 219.174.60.250,network,High,open
User session timeout issue on mobile app version EXT-1044,Batch imported ticket for User session timeout issue on mobile app version EXT-1044. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-1044. User IP: 121.14.119.73,application,Medium,in_progress
Unusual login activity detected for account EXT-5326,Batch imported ticket for Unusual login activity detected for account EXT-5326. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-5326. User IP: 81.112.15.15,security,Medium,open
Database backup failure for instance EXT-8608 on S3,Batch imported ticket for Database backup failure for instance EXT-8608 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-8608. User IP: 4.92.94.59,database,Medium,open
Role-based access change request for team EXT-9651,Batch imported ticket for Role-based access change request for team EXT-9651. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9651. User IP: 99.5.187.189,access,Low,in_progress
VPN tunnel EXT-6911 status changed to Down,Batch imported ticket for VPN tunnel EXT-6911 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6911. User IP: 231.190.154.207,network,Medium,in_progress
Database backup failure for instance EXT-5447 on S3,Batch imported ticket for Database backup failure for instance EXT-5447 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-5447. User IP: 227.61.199.24,database,Critical,in_progress
Unusual login activity detected for account EXT-2936,Batch imported ticket for Unusual login activity detected for account EXT-2936. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-2936. User IP: 105.3.29.73,security,Critical,resolved
VPN tunnel EXT-4206 status changed to Down,Batch imported ticket for VPN tunnel EXT-4206 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-4206. User IP: 167.135.122.129,network,Critical,resolved
S3 bucket EXT-3993 access denied for service role,Batch imported ticket for S3 bucket EXT-3993 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-3993. User IP: 164.46.14.154,storage,Critical,open
User session timeout issue on mobile app version EXT-2641,Batch imported ticket for User session timeout issue on mobile app version EXT-2641. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-2641. User IP: 242.183.143.214,application,High,resolved
Postgres slow query optimization needed for EXT-5188,Batch imported ticket for Postgres slow query optimization needed for EXT-5188. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-5188. User IP: 57.223.186.222,database,Low,resolved
S3 bucket EXT-8743 access denied for service role,Batch imported ticket for S3 bucket EXT-8743 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-8743. User IP: 11.42.4.18,storage,Medium,open
Password reset requested for executive account EXT-1685,Batch imported ticket for Password reset requested for executive account EXT-1685. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-1685. User IP: 36.35.102.143,access,Critical,in_progress
Server cluster EXT-1815 high CPU usage warning,Batch imported ticket for Server cluster EXT-1815 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-1815. User IP: 170.13.0.251,infrastructure,Low,resolved
Postgres slow query optimization needed for EXT-6694,Batch imported ticket for Postgres slow query optimization needed for EXT-6694. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-6694. User IP: 234.234.150.192,database,Medium,resolved
Unauthorized S3 bucket policy modification on EXT-4633,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-4633. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-4633. User IP: 182.49.20.124,security,Critical,resolved
S3 bucket EXT-6175 access denied for service role,Batch imported ticket for S3 bucket EXT-6175 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-6175. User IP: 111.166.92.164,storage,High,resolved
Server cluster EXT-3497 high CPU usage warning,Batch imported ticket for Server cluster EXT-3497 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-3497. User IP: 243.201.175.122,infrastructure,High,resolved
Credential stuffing attempt blocked on IP range EXT-8502.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-8502.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-8502. User IP: 137.205.98.178,security,High,open
Payment gateway 500 status on /checkout/EXT-9203,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-9203. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-9203. User IP: 85.220.82.33,application,High,in_progress
Credential stuffing attempt blocked on IP range EXT-3088.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-3088.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-3088. User IP: 144.167.190.8,security,High,in_progress
Postgres slow query optimization needed for EXT-6236,Batch imported ticket for Postgres slow query optimization needed for EXT-6236. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-6236. User IP: 196.167.151.250,database,High,open
Unusual login activity detected for account EXT-1830,Batch imported ticket for Unusual login activity detected for account EXT-1830. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-1830. User IP: 210.31.223.109,security,Low,resolved
Credential stuffing attempt blocked on IP range EXT-3592.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-3592.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-3592. User IP: 92.130.170.252,security,High,open
User session timeout issue on mobile app version EXT-9360,Batch imported ticket for User session timeout issue on mobile app version EXT-9360. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-9360. User IP: 44.138.29.56,application,Medium,in_progress
EFS mount failure on instance EXT-5916,Batch imported ticket for EFS mount failure on instance EXT-5916. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-5916. User IP: 120.196.71.101,storage,Critical,open
User session timeout issue on mobile app version EXT-4768,Batch imported ticket for User session timeout issue on mobile app version EXT-4768. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-4768. User IP: 100.103.0.150,application,Medium,in_progress
Unauthorized S3 bucket policy modification on EXT-8433,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-8433. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-8433. User IP: 247.25.189.26,security,Low,in_progress
DNS resolution failure for internal host EXT-5195,Batch imported ticket for DNS resolution failure for internal host EXT-5195. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5195. User IP: 37.13.247.232,network,Low,in_progress
Wireless AP EXT-6397 offline in South Wing,Batch imported ticket for Wireless AP EXT-6397 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-6397. User IP: 99.156.238.73,network,High,in_progress
Credential stuffing attempt blocked on IP range EXT-5661.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-5661.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-5661. User IP: 194.160.167.186,security,Low,resolved
Database backup failure for instance EXT-1252 on S3,Batch imported ticket for Database backup failure for instance EXT-1252 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-1252. User IP: 174.76.125.2,database,Medium,resolved
VPC Peering connection EXT-9883 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-9883 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-9883. User IP: 20.66.113.80,infrastructure,Medium,in_progress
Credential stuffing attempt blocked on IP range EXT-2934.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-2934.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-2934. User IP: 124.127.88.108,security,Medium,resolved
Connection pool exhaustion on microservice EXT-2720,Batch imported ticket for Connection pool exhaustion on microservice EXT-2720. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-2720. User IP: 145.243.27.7,database,Critical,in_progress
Disk space low (95%) on shared drive EXT-3811,Batch imported ticket for Disk space low (95%) on shared drive EXT-3811. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-3811. User IP: 173.93.237.104,storage,Medium,resolved
Wireless AP EXT-1177 offline in South Wing,Batch imported ticket for Wireless AP EXT-1177 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-1177. User IP: 87.184.95.255,network,Critical,open
Credential stuffing attempt blocked on IP range EXT-7337.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-7337.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-7337. User IP: 210.113.11.133,security,Medium,open
Database backup failure for instance EXT-7897 on S3,Batch imported ticket for Database backup failure for instance EXT-7897 on S3. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-7897. User IP: 7.50.60.123,database,Medium,resolved
User session timeout issue on mobile app version EXT-7721,Batch imported ticket for User session timeout issue on mobile app version EXT-7721. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-7721. User IP: 50.190.136.71,application,Critical,resolved
Wireless AP EXT-5785 offline in South Wing,Batch imported ticket for Wireless AP EXT-5785 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5785. User IP: 224.139.148.201,network,Low,in_progress
Wireless AP EXT-9034 offline in South Wing,Batch imported ticket for Wireless AP EXT-9034 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-9034. User IP: 166.231.112.125,network,Low,resolved
EFS mount failure on instance EXT-7236,Batch imported ticket for EFS mount failure on instance EXT-7236. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-7236. User IP: 170.211.124.167,storage,High,resolved
User session timeout issue on mobile app version EXT-5112,Batch imported ticket for User session timeout issue on mobile app version EXT-5112. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-5112. User IP: 255.146.236.143,application,Medium,resolved
VPC Peering connection EXT-6882 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-6882 dropped packets detected. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-6882. User IP: 99.181.172.158,infrastructure,High,in_progress
Credential stuffing attempt blocked on IP range EXT-4837.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-4837.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-4837. User IP: 154.168.236.36,security,Medium,resolved
Disk space low (95%) on shared drive EXT-8687,Batch imported ticket for Disk space low (95%) on shared drive EXT-8687. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-8687. User IP: 6.46.17.191,storage,Low,resolved
Server cluster EXT-4316 high CPU usage warning,Batch imported ticket for Server cluster EXT-4316 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-4316. User IP: 23.158.218.58,infrastructure,High,open
API Latency increased for /v1/products/list - EXT-8702,Batch imported ticket for API Latency increased for /v1/products/list - EXT-8702. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-8702. User IP: 16.194.28.155,application,Medium,in_progress
API Latency increased for /v1/products/list - EXT-3668,Batch imported ticket for API Latency increased for /v1/products/list - EXT-3668. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-3668. User IP: 37.24.98.86,application,Medium,in_progress
Server cluster EXT-8177 high CPU usage warning,Batch imported ticket for Server cluster EXT-8177 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-8177. User IP: 129.184.33.115,infrastructure,High,open
Connection pool exhaustion on microservice EXT-7859,Batch imported ticket for Connection pool exhaustion on microservice EXT-7859. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-7859. User IP: 36.45.149.221,database,High,resolved
Credential stuffing attempt blocked on IP range EXT-2817.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-2817.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-2817. User IP: 194.249.240.215,security,High,open
EFS mount failure on instance EXT-2780,Batch imported ticket for EFS mount failure on instance EXT-2780. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-2780. User IP: 93.99.27.115,storage,Medium,open
Wireless AP EXT-5108 offline in South Wing,Batch imported ticket for Wireless AP EXT-5108 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5108. User IP: 12.225.167.183,network,Medium,in_progress
EFS mount failure on instance EXT-4848,Batch imported ticket for EFS mount failure on instance EXT-4848. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-4848. User IP: 115.190.240.183,storage,High,resolved
S3 bucket EXT-4773 access denied for service role,Batch imported ticket for S3 bucket EXT-4773 access denied for service role. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-4773. User IP: 14.247.194.210,storage,Low,open
Connection pool exhaustion on microservice EXT-9638,Batch imported ticket for Connection pool exhaustion on microservice EXT-9638. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-9638. User IP: 201.169.45.164,database,Critical,open
DNS resolution failure for internal host EXT-3750,Batch imported ticket for DNS resolution failure for internal host EXT-3750. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-3750. User IP: 110.89.223.163,network,Medium,in_progress
Payment gateway 500 status on /checkout/EXT-5173,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-5173. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-5173. User IP: 117.161.43.133,application,Medium,in_progress
API Latency increased for /v1/products/list - EXT-7756,Batch imported ticket for API Latency increased for /v1/products/list - EXT-7756. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-7756. User IP: 115.59.203.80,application,High,open
Wireless AP EXT-4064 offline in South Wing,Batch imported ticket for Wireless AP EXT-4064 offline in South Wing. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-4064. User IP: 209.164.62.20,network,Critical,open
Credential stuffing attempt blocked on IP range EXT-2996.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-2996.0.0/16. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-2996. User IP: 195.155.226.98,security,Medium,open
DNS resolution failure for internal host EXT-5953,Batch imported ticket for DNS resolution failure for internal host EXT-5953. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-5953. User IP: 150.70.249.18,network,Low,resolved
Role-based access change request for team EXT-2777,Batch imported ticket for Role-based access change request for team EXT-2777. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-2777. User IP: 43.227.8.152,access,Medium,resolved
Connection pool exhaustion on microservice EXT-8486,Batch imported ticket for Connection pool exhaustion on microservice EXT-8486. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-8486. User IP: 233.9.121.219,database,Critical,in_progress
Role-based access change request for team EXT-9659,Batch imported ticket for Role-based access change request for team EXT-9659. This issue was detected by external monitoring system. Please investigate the access logs for ID EXT-9659. User IP: 42.125.90.58,access,Low,resolved
Server cluster EXT-7177 high CPU usage warning,Batch imported ticket for Server cluster EXT-7177 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the infrastructure logs for ID EXT-7177. User IP: 173.186.69.107,infrastructure,Low,in_progress
API Latency increased for /v1/products/list - EXT-4681,Batch imported ticket for API Latency increased for /v1/products/list - EXT-4681. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-4681. User IP: 192.85.215.73,application,High,open
Payment gateway 500 status on /checkout/EXT-6778,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-6778. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-6778. User IP: 6.3.158.133,application,High,resolved
API Latency increased for /v1/products/list - EXT-2690,Batch imported ticket for API Latency increased for /v1/products/list - EXT-2690. This issue was detected by external monitoring system. Please investigate the application logs for ID EXT-2690. User IP: 208.28.150.56,application,Low,open
VPN tunnel EXT-3427 status changed to Down,Batch imported ticket for VPN tunnel EXT-3427 status changed to Down. This issue was detected by external monitoring system. Please investigate the network logs for ID EXT-3427. User IP: 192.78.67.32,network,Low,in_progress
Disk space low (95%) on shared drive EXT-7627,Batch imported ticket for Disk space low (95%) on shared drive EXT-7627. This issue was detected by external monitoring system. Please investigate the storage logs for ID EXT-7627. User IP: 119.165.141.234,storage,High,resolved
Connection pool exhaustion on microservice EXT-5197,Batch imported ticket for Connection pool exhaustion on microservice EXT-5197. This issue was detected by external monitoring system. Please investigate the database logs for ID EXT-5197. User IP: 164.184.203.61,database,Critical,resolved
Unauthorized S3 bucket policy modification on EXT-5368,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-5368. This issue was detected by external monitoring system. Please investigate the security logs for ID EXT-5368. User IP: 69.71.103.240,security,Medium,resolved
