Subject,Description,Service,Impact,Status
VPC Peering connection EXT-3140 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-3140 dropped packets detected. This issue was detected by external monitoring system. Please investigate the Infrastructure logs for ID EXT-3140. User IP: 77.49.159.117,Infrastructure,Critical,open
Unauthorized S3 bucket policy modification on EXT-3549,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-3549. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-3549. User IP: 76.40.147.230,Security,Medium,in_progress
Password reset requested for executive account EXT-3612,Batch imported ticket for Password reset requested for executive account EXT-3612. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-3612. User IP: 94.42.246.189,Access Management,Critical,open
Unusual login activity detected for account EXT-5026,Batch imported ticket for Unusual login activity detected for account EXT-5026. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-5026. User IP: 19.104.31.11,Security,Medium,in_progress
Postgres slow query optimization needed for EXT-5481,Batch imported ticket for Postgres slow query optimization needed for EXT-5481. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-5481. User IP: 81.196.194.190,Database,Medium,open
Password reset requested for executive account EXT-8960,Batch imported ticket for Password reset requested for executive account EXT-8960. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-8960. User IP: 238.217.160.84,Access Management,Critical,resolved
Password reset requested for executive account EXT-3880,Batch imported ticket for Password reset requested for executive account EXT-3880. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-3880. User IP: 253.49.42.131,Access Management,Critical,resolved
VPN tunnel EXT-8315 status changed to Down,Batch imported ticket for VPN tunnel EXT-8315 status changed to Down. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-8315. User IP: 97.73.162.82,Network,Medium,open
Connection pool exhaustion on microservice EXT-3934,Batch imported ticket for Connection pool exhaustion on microservice EXT-3934. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-3934. User IP: 170.11.77.72,Database,High,open
VPN tunnel EXT-3678 status changed to Down,Batch imported ticket for VPN tunnel EXT-3678 status changed to Down. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-3678. User IP: 104.63.190.56,Network,Medium,resolved
VPC Peering connection EXT-9395 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-9395 dropped packets detected. This issue was detected by external monitoring system. Please investigate the Infrastructure logs for ID EXT-9395. User IP: 187.107.89.128,Infrastructure,Low,in_progress
Database backup failure for instance EXT-7923 on S3,Batch imported ticket for Database backup failure for instance EXT-7923 on S3. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-7923. User IP: 177.33.115.123,Database,Low,open
Disk space low (95%) on shared drive EXT-8126,Batch imported ticket for Disk space low (95%) on shared drive EXT-8126. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-8126. User IP: 249.47.49.242,Storage,High,in_progress
VPN tunnel EXT-5205 status changed to Down,Batch imported ticket for VPN tunnel EXT-5205 status changed to Down. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-5205. User IP: 105.145.168.170,Network,Low,open
Payment gateway 500 status on /checkout/EXT-7607,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-7607. This issue was detected by external monitoring system. Please investigate the Application logs for ID EXT-7607. User IP: 215.216.2.15,Application,Medium,open
Unauthorized S3 bucket policy modification on EXT-9202,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-9202. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-9202. User IP: 169.29.111.68,Security,High,in_progress
Disk space low (95%) on shared drive EXT-7594,Batch imported ticket for Disk space low (95%) on shared drive EXT-7594. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-7594. User IP: 221.72.143.80,Storage,Medium,resolved
VPN tunnel EXT-6749 status changed to Down,Batch imported ticket for VPN tunnel EXT-6749 status changed to Down. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-6749. User IP: 122.15.121.160,Network,Critical,in_progress
New employee AD account creation for user EXT-8680,Batch imported ticket for New employee AD account creation for user EXT-8680. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-8680. User IP: 2.250.187.39,Access Management,Medium,in_progress
User session timeout issue on mobile app version EXT-6897,Batch imported ticket for User session timeout issue on mobile app version EXT-6897. This issue was detected by external monitoring system. Please investigate the Application logs for ID EXT-6897. User IP: 59.239.80.97,Application,Medium,open
VPN tunnel EXT-6314 status changed to Down,Batch imported ticket for VPN tunnel EXT-6314 status changed to Down. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-6314. User IP: 170.118.255.92,Network,Critical,resolved
Connection pool exhaustion on microservice EXT-6518,Batch imported ticket for Connection pool exhaustion on microservice EXT-6518. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-6518. User IP: 61.14.204.198,Database,Medium,open
Credential stuffing attempt blocked on IP range EXT-2724.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-2724.0.0/16. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-2724. User IP: 63.64.150.41,Security,Low,open
User session timeout issue on mobile app version EXT-2721,Batch imported ticket for User session timeout issue on mobile app version EXT-2721. This issue was detected by external monitoring system. Please investigate the Application logs for ID EXT-2721. User IP: 49.116.182.84,Application,Low,resolved
Disk space low (95%) on shared drive EXT-9216,Batch imported ticket for Disk space low (95%) on shared drive EXT-9216. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-9216. User IP: 71.120.87.101,Storage,Low,resolved
DNS resolution failure for internal host EXT-3697,Batch imported ticket for DNS resolution failure for internal host EXT-3697. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-3697. User IP: 7.204.20.191,Network,Critical,in_progress
Role-based access change request for team EXT-5318,Batch imported ticket for Role-based access change request for team EXT-5318. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-5318. User IP: 232.131.206.222,Access Management,High,resolved
Server cluster EXT-1845 high CPU usage warning,Batch imported ticket for Server cluster EXT-1845 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the Infrastructure logs for ID EXT-1845. User IP: 141.245.178.165,Infrastructure,Low,resolved
Password reset requested for executive account EXT-6464,Batch imported ticket for Password reset requested for executive account EXT-6464. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-6464. User IP: 239.99.189.188,Access Management,Critical,open
EFS mount failure on instance EXT-7409,Batch imported ticket for EFS mount failure on instance EXT-7409. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-7409. User IP: 184.61.239.91,Storage,Medium,open
New employee AD account creation for user EXT-3366,Batch imported ticket for New employee AD account creation for user EXT-3366. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-3366. User IP: 170.148.147.145,Access Management,Low,in_progress
VPN tunnel EXT-3689 status changed to Down,Batch imported ticket for VPN tunnel EXT-3689 status changed to Down. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-3689. User IP: 157.157.216.118,Network,High,resolved
Role-based access change request for team EXT-1341,Batch imported ticket for Role-based access change request for team EXT-1341. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-1341. User IP: 128.152.196.211,Access Management,High,in_progress
Connection pool exhaustion on microservice EXT-1623,Batch imported ticket for Connection pool exhaustion on microservice EXT-1623. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-1623. User IP: 60.174.144.6,Database,Low,resolved
Unauthorized S3 bucket policy modification on EXT-2024,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-2024. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-2024. User IP: 109.46.226.38,Security,Low,resolved
Unauthorized S3 bucket policy modification on EXT-4280,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-4280. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-4280. User IP: 78.62.190.153,Security,High,in_progress
Server cluster EXT-7076 high CPU usage warning,Batch imported ticket for Server cluster EXT-7076 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the Infrastructure logs for ID EXT-7076. User IP: 37.161.133.232,Infrastructure,Low,in_progress
Credential stuffing attempt blocked on IP range EXT-7368.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-7368.0.0/16. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-7368. User IP: 184.15.241.14,Security,High,in_progress
API Latency increased for /v1/products/list - EXT-5909,Batch imported ticket for API Latency increased for /v1/products/list - EXT-5909. This issue was detected by external monitoring system. Please investigate the Application logs for ID EXT-5909. User IP: 223.77.11.195,Application,High,in_progress
Database backup failure for instance EXT-5344 on S3,Batch imported ticket for Database backup failure for instance EXT-5344 on S3. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-5344. User IP: 71.240.16.170,Database,Medium,open
Wireless AP EXT-5522 offline in South Wing,Batch imported ticket for Wireless AP EXT-5522 offline in South Wing. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-5522. User IP: 201.79.9.241,Network,Critical,open
S3 bucket EXT-2555 access denied for service role,Batch imported ticket for S3 bucket EXT-2555 access denied for service role. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-2555. User IP: 111.157.1.104,Storage,High,open
Password reset requested for executive account EXT-7660,Batch imported ticket for Password reset requested for executive account EXT-7660. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-7660. User IP: 126.3.68.87,Access Management,Critical,open
Role-based access change request for team EXT-4815,Batch imported ticket for Role-based access change request for team EXT-4815. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-4815. User IP: 56.173.103.225,Access Management,High,in_progress
Password reset requested for executive account EXT-4702,Batch imported ticket for Password reset requested for executive account EXT-4702. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-4702. User IP: 31.140.108.84,Access Management,Low,in_progress
VPN tunnel EXT-2724 status changed to Down,Batch imported ticket for VPN tunnel EXT-2724 status changed to Down. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-2724. User IP: 125.127.110.83,Network,Critical,open
Database backup failure for instance EXT-7401 on S3,Batch imported ticket for Database backup failure for instance EXT-7401 on S3. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-7401. User IP: 216.31.115.156,Database,Low,in_progress
VPN tunnel EXT-2792 status changed to Down,Batch imported ticket for VPN tunnel EXT-2792 status changed to Down. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-2792. User IP: 138.106.149.175,Network,High,resolved
Disk space low (95%) on shared drive EXT-9616,Batch imported ticket for Disk space low (95%) on shared drive EXT-9616. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-9616. User IP: 94.188.177.81,Storage,Medium,open
Payment gateway 500 status on /checkout/EXT-9543,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-9543. This issue was detected by external monitoring system. Please investigate the Application logs for ID EXT-9543. User IP: 171.34.174.142,Application,Medium,in_progress
Unauthorized S3 bucket policy modification on EXT-3358,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-3358. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-3358. User IP: 99.99.186.225,Security,Medium,in_progress
S3 bucket EXT-3214 access denied for service role,Batch imported ticket for S3 bucket EXT-3214 access denied for service role. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-3214. User IP: 113.124.170.169,Storage,Low,open
Disk space low (95%) on shared drive EXT-3906,Batch imported ticket for Disk space low (95%) on shared drive EXT-3906. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-3906. User IP: 112.93.100.245,Storage,Low,in_progress
Credential stuffing attempt blocked on IP range EXT-4138.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-4138.0.0/16. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-4138. User IP: 140.179.92.157,Security,Critical,in_progress
Disk space low (95%) on shared drive EXT-8077,Batch imported ticket for Disk space low (95%) on shared drive EXT-8077. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-8077. User IP: 195.234.42.217,Storage,Critical,open
Database backup failure for instance EXT-6811 on S3,Batch imported ticket for Database backup failure for instance EXT-6811 on S3. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-6811. User IP: 8.243.239.79,Database,Medium,resolved
New employee AD account creation for user EXT-7283,Batch imported ticket for New employee AD account creation for user EXT-7283. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-7283. User IP: 185.99.183.205,Access Management,Medium,in_progress
API Latency increased for /v1/products/list - EXT-2759,Batch imported ticket for API Latency increased for /v1/products/list - EXT-2759. This issue was detected by external monitoring system. Please investigate the Application logs for ID EXT-2759. User IP: 106.114.182.36,Application,Medium,in_progress
New employee AD account creation for user EXT-2457,Batch imported ticket for New employee AD account creation for user EXT-2457. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-2457. User IP: 182.232.212.226,Access Management,Low,resolved
Unusual login activity detected for account EXT-1874,Batch imported ticket for Unusual login activity detected for account EXT-1874. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-1874. User IP: 34.234.134.169,Security,Low,open
Role-based access change request for team EXT-7011,Batch imported ticket for Role-based access change request for team EXT-7011. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-7011. User IP: 19.251.50.123,Access Management,High,in_progress
Disk space low (95%) on shared drive EXT-7205,Batch imported ticket for Disk space low (95%) on shared drive EXT-7205. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-7205. User IP: 33.102.16.235,Storage,Medium,open
EFS mount failure on instance EXT-1088,Batch imported ticket for EFS mount failure on instance EXT-1088. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-1088. User IP: 244.181.96.118,Storage,Low,in_progress
Unauthorized S3 bucket policy modification on EXT-1246,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-1246. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-1246. User IP: 191.225.83.129,Security,Critical,in_progress
Password reset requested for executive account EXT-7593,Batch imported ticket for Password reset requested for executive account EXT-7593. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-7593. User IP: 208.176.67.91,Access Management,Low,in_progress
Credential stuffing attempt blocked on IP range EXT-5222.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-5222.0.0/16. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-5222. User IP: 162.243.234.114,Security,Low,resolved
S3 bucket EXT-2553 access denied for service role,Batch imported ticket for S3 bucket EXT-2553 access denied for service role. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-2553. User IP: 194.200.216.38,Storage,Critical,in_progress
Database backup failure for instance EXT-9812 on S3,Batch imported ticket for Database backup failure for instance EXT-9812 on S3. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-9812. User IP: 44.144.226.81,Database,Critical,resolved
Credential stuffing attempt blocked on IP range EXT-2416.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-2416.0.0/16. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-2416. User IP: 67.54.229.51,Security,Critical,in_progress
Database backup failure for instance EXT-4235 on S3,Batch imported ticket for Database backup failure for instance EXT-4235 on S3. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-4235. User IP: 64.47.63.232,Database,Medium,in_progress
DNS resolution failure for internal host EXT-6957,Batch imported ticket for DNS resolution failure for internal host EXT-6957. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-6957. User IP: 29.142.153.179,Network,Critical,open
Credential stuffing attempt blocked on IP range EXT-6749.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-6749.0.0/16. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-6749. User IP: 160.74.17.96,Security,Medium,in_progress
Database backup failure for instance EXT-2709 on S3,Batch imported ticket for Database backup failure for instance EXT-2709 on S3. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-2709. User IP: 55.29.135.229,Database,Low,open
User session timeout issue on mobile app version EXT-2097,Batch imported ticket for User session timeout issue on mobile app version EXT-2097. This issue was detected by external monitoring system. Please investigate the Application logs for ID EXT-2097. User IP: 74.91.153.175,Application,Critical,resolved
Payment gateway 500 status on /checkout/EXT-2489,Batch imported ticket for Payment gateway 500 status on /checkout/EXT-2489. This issue was detected by external monitoring system. Please investigate the Application logs for ID EXT-2489. User IP: 36.171.27.218,Application,High,resolved
VPC Peering connection EXT-1801 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-1801 dropped packets detected. This issue was detected by external monitoring system. Please investigate the Infrastructure logs for ID EXT-1801. User IP: 150.20.8.138,Infrastructure,Critical,in_progress
Role-based access change request for team EXT-4469,Batch imported ticket for Role-based access change request for team EXT-4469. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-4469. User IP: 23.154.235.48,Access Management,High,resolved
VPC Peering connection EXT-3594 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-3594 dropped packets detected. This issue was detected by external monitoring system. Please investigate the Infrastructure logs for ID EXT-3594. User IP: 44.148.94.199,Infrastructure,High,resolved
VPC Peering connection EXT-4905 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-4905 dropped packets detected. This issue was detected by external monitoring system. Please investigate the Infrastructure logs for ID EXT-4905. User IP: 22.46.3.55,Infrastructure,High,open
Wireless AP EXT-8314 offline in South Wing,Batch imported ticket for Wireless AP EXT-8314 offline in South Wing. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-8314. User IP: 101.198.47.231,Network,Critical,resolved
VPC Peering connection EXT-7477 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-7477 dropped packets detected. This issue was detected by external monitoring system. Please investigate the Infrastructure logs for ID EXT-7477. User IP: 178.211.220.37,Infrastructure,Medium,resolved
S3 bucket EXT-2916 access denied for service role,Batch imported ticket for S3 bucket EXT-2916 access denied for service role. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-2916. User IP: 140.197.77.244,Storage,Medium,resolved
Wireless AP EXT-5143 offline in South Wing,Batch imported ticket for Wireless AP EXT-5143 offline in South Wing. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-5143. User IP: 119.171.255.201,Network,Critical,in_progress
Server cluster EXT-2225 high CPU usage warning,Batch imported ticket for Server cluster EXT-2225 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the Infrastructure logs for ID EXT-2225. User IP: 33.121.66.137,Infrastructure,Low,open
S3 bucket EXT-3733 access denied for service role,Batch imported ticket for S3 bucket EXT-3733 access denied for service role. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-3733. User IP: 4.234.123.134,Storage,High,open
Password reset requested for executive account EXT-1447,Batch imported ticket for Password reset requested for executive account EXT-1447. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-1447. User IP: 161.158.182.34,Access Management,High,in_progress
Disk space low (95%) on shared drive EXT-5660,Batch imported ticket for Disk space low (95%) on shared drive EXT-5660. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-5660. User IP: 109.186.192.27,Storage,High,resolved
Role-based access change request for team EXT-7738,Batch imported ticket for Role-based access change request for team EXT-7738. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-7738. User IP: 90.150.137.15,Access Management,Low,open
Database backup failure for instance EXT-2881 on S3,Batch imported ticket for Database backup failure for instance EXT-2881 on S3. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-2881. User IP: 198.79.27.157,Database,Medium,resolved
Credential stuffing attempt blocked on IP range EXT-3762.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-3762.0.0/16. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-3762. User IP: 227.151.160.212,Security,Medium,open
DNS resolution failure for internal host EXT-6314,Batch imported ticket for DNS resolution failure for internal host EXT-6314. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-6314. User IP: 220.214.76.168,Network,High,open
VPC Peering connection EXT-4919 dropped packets detected,Batch imported ticket for VPC Peering connection EXT-4919 dropped packets detected. This issue was detected by external monitoring system. Please investigate the Infrastructure logs for ID EXT-4919. User IP: 181.210.142.254,Infrastructure,Critical,resolved
Server cluster EXT-8502 high CPU usage warning,Batch imported ticket for Server cluster EXT-8502 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the Infrastructure logs for ID EXT-8502. User IP: 29.131.204.138,Infrastructure,Low,open
EFS mount failure on instance EXT-8010,Batch imported ticket for EFS mount failure on instance EXT-8010. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-8010. User IP: 231.95.46.16,Storage,Low,resolved
Role-based access change request for team EXT-4526,Batch imported ticket for Role-based access change request for team EXT-4526. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-4526. User IP: 235.4.168.143,Access Management,Medium,open
VPN tunnel EXT-8156 status changed to Down,Batch imported ticket for VPN tunnel EXT-8156 status changed to Down. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-8156. User IP: 224.63.62.119,Network,Low,open
EFS mount failure on instance EXT-6552,Batch imported ticket for EFS mount failure on instance EXT-6552. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-6552. User IP: 236.115.201.110,Storage,High,resolved
Load Balancer EXT-9563 health check failures in Region-B,Batch imported ticket for Load Balancer EXT-9563 health check failures in Region-B. This issue was detected by external monitoring system. Please investigate the Infrastructure logs for ID EXT-9563. User IP: 75.67.213.3,Infrastructure,High,in_progress
Disk space low (95%) on shared drive EXT-1275,Batch imported ticket for Disk space low (95%) on shared drive EXT-1275. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-1275. User IP: 244.219.55.85,Storage,Critical,open
VPN tunnel EXT-8699 status changed to Down,Batch imported ticket for VPN tunnel EXT-8699 status changed to Down. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-8699. User IP: 90.74.112.126,Network,Low,open
Password reset requested for executive account EXT-6344,Batch imported ticket for Password reset requested for executive account EXT-6344. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-6344. User IP: 45.188.46.16,Access Management,Low,open
Password reset requested for executive account EXT-2755,Batch imported ticket for Password reset requested for executive account EXT-2755. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-2755. User IP: 80.124.219.154,Access Management,Critical,resolved
Password reset requested for executive account EXT-7252,Batch imported ticket for Password reset requested for executive account EXT-7252. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-7252. User IP: 53.241.135.233,Access Management,Medium,open
VPN tunnel EXT-6477 status changed to Down,Batch imported ticket for VPN tunnel EXT-6477 status changed to Down. This issue was detected by external monitoring system. Please investigate the Network logs for ID EXT-6477. User IP: 218.28.222.97,Network,Critical,open
Database backup failure for instance EXT-1673 on S3,Batch imported ticket for Database backup failure for instance EXT-1673 on S3. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-1673. User IP: 200.120.92.114,Database,Low,resolved
Database backup failure for instance EXT-7128 on S3,Batch imported ticket for Database backup failure for instance EXT-7128 on S3. This issue was detected by external monitoring system. Please investigate the Database logs for ID EXT-7128. User IP: 53.38.99.177,Database,High,open
Role-based access change request for team EXT-4648,Batch imported ticket for Role-based access change request for team EXT-4648. This issue was detected by external monitoring system. Please investigate the Access Management logs for ID EXT-4648. User IP: 158.73.212.71,Access Management,High,open
User session timeout issue on mobile app version EXT-8336,Batch imported ticket for User session timeout issue on mobile app version EXT-8336. This issue was detected by external monitoring system. Please investigate the Application logs for ID EXT-8336. User IP: 2.37.43.246,Application,Critical,resolved
EFS mount failure on instance EXT-5135,Batch imported ticket for EFS mount failure on instance EXT-5135. This issue was detected by external monitoring system. Please investigate the Storage logs for ID EXT-5135. User IP: 115.219.168.6,Storage,Low,open
Credential stuffing attempt blocked on IP range EXT-3613.0.0/16,Batch imported ticket for Credential stuffing attempt blocked on IP range EXT-3613.0.0/16. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-3613. User IP: 138.71.120.93,Security,Critical,in_progress
Unauthorized S3 bucket policy modification on EXT-8452,Batch imported ticket for Unauthorized S3 bucket policy modification on EXT-8452. This issue was detected by external monitoring system. Please investigate the Security logs for ID EXT-8452. User IP: 210.29.170.30,Security,Medium,open
Server cluster EXT-4107 high CPU usage warning,Batch imported ticket for Server cluster EXT-4107 high CPU usage warning. This issue was detected by external monitoring system. Please investigate the Infrastructure logs for ID EXT-4107. User IP: 149.31.235.217,Infrastructure,High,in_progress
User session timeout issue on mobile app version EXT-2277,Batch imported ticket for User session timeout issue on mobile app version EXT-2277. This issue was detected by external monitoring system. Please investigate the Application logs for ID EXT-2277. User IP: 17.168.41.89,Application,Critical,resolved
